n=12  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  420.864471+ -0.000311i  sigX_q=  -14.843012              sigX_T=   -0.009403              VH_q=  420.864470+ -0.000311i  VH_T=    0.000000+ -0.000000i
n=13  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  420.864471+ -0.000311i  sigX_q=  -14.843012              sigX_T=   -0.009403              VH_q=  420.864470+ -0.000311i  VH_T=    0.000000+ -0.000000i
n=14  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  383.126518+ -0.000102i  sigX_q=  -14.305400              sigX_T=   -0.008422              VH_q=  383.126517+ -0.000102i  VH_T=    0.000000+ -0.000000i
n=15  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  383.126518+ -0.000102i  sigX_q=  -14.305400              sigX_T=   -0.008422              VH_q=  383.126517+ -0.000102i  VH_T=    0.000000+ -0.000000i
n=16  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  375.553399+ -0.000054i  sigX_q=  -14.220448              sigX_T=   -0.013931              VH_q=  375.553399+ -0.000054i  VH_T=   -0.000000+ -0.000000i
n=17  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  375.553399+ -0.000054i  sigX_q=  -14.220448              sigX_T=   -0.013931              VH_q=  375.553399+ -0.000054i  VH_T=   -0.000000+ -0.000000i
n=18  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  448.317065+ -0.000440i  sigX_q=  -15.292119              sigX_T=   -0.009742              VH_q=  448.317065+ -0.000440i  VH_T=    0.000000+ -0.000000i
n=19  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  448.317065+ -0.000440i  sigX_q=  -15.292119              sigX_T=   -0.009742              VH_q=  448.317065+ -0.000440i  VH_T=    0.000000+ -0.000000i
n=20  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  321.550770+ -0.000179i  sigX_q=  -13.626644              sigX_T=   -0.022605              VH_q=  321.550770+ -0.000179i  VH_T=    0.000000+ -0.000000i
n=21  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  321.550770+ -0.000179i  sigX_q=  -13.626644              sigX_T=   -0.022605              VH_q=  321.550770+ -0.000179i  VH_T=    0.000000+ -0.000000i
n=22  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  425.284714+ -0.000591i  sigX_q=  -14.333998              sigX_T=   -0.016057              VH_q=  425.284714+ -0.000591i  VH_T=   -0.000000+ -0.000000i
n=23  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  425.284714+ -0.000591i  sigX_q=  -14.333998              sigX_T=   -0.016057              VH_q=  425.284714+ -0.000591i  VH_T=   -0.000000+ -0.000000i
n=24  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  464.518127+ -0.000689i  sigX_q=  -13.919343              sigX_T=   -0.015056              VH_q=  464.518127+ -0.000689i  VH_T=   -0.000000+  0.000000i
n=25  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  464.518127+ -0.000689i  sigX_q=  -13.919343              sigX_T=   -0.015056              VH_q=  464.518127+ -0.000689i  VH_T=   -0.000000+  0.000000i
n=26  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  484.989063+ -0.000791i  sigX_q=  -12.352484              sigX_T=   -0.016724              VH_q=  484.989063+ -0.000791i  VH_T=   -0.000000+ -0.000000i
n=27  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  484.989063+ -0.000791i  sigX_q=  -12.352484              sigX_T=   -0.016724              VH_q=  484.989063+ -0.000791i  VH_T=   -0.000000+ -0.000000i
n=28  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  460.386022+ -0.000740i  sigX_q=  -11.841346              sigX_T=   -0.012425              VH_q=  460.386022+ -0.000740i  VH_T=   -0.000000+  0.000000i
n=29  sigSX=    0.000000              sigCOH=    0.000000              sigTOT=    0.000000              VH=  460.386022+ -0.000740i  sigX_q=  -11.841346              sigX_T=   -0.012425              VH_q=  460.386022+ -0.000740i  VH_T=   -0.000000+  0.000000i

k-point 2:
----------------------------------------------------------------------------------------------------
