# Generated by LORRAX unknown at 2026-07-21 06:19:27 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=30  sigX=  -11.183320              sigC=   -3.327273+19054.527092i  sigXC=  -14.510592+19054.527092i  VH=  437.109959+ -0.000195i  Eo=   -2.697296
n=31  sigX=  -11.183320              sigC=   -3.327273+19054.527092i  sigXC=  -14.510592+19054.527092i  VH=  437.109959+ -0.000195i  Eo=   -2.697295
n=32  sigX=  -11.148402              sigC=   -3.551340+7476.351766i  sigXC=  -14.699741+7476.351766i  VH=  426.510790+ -0.000316i  Eo=   -1.968038
n=33  sigX=  -11.148402              sigC=   -3.551340+7476.351766i  sigXC=  -14.699741+7476.351766i  VH=  426.510790+ -0.000316i  Eo=   -1.968037
n=34  sigX=   -6.287345              sigC=   -4.619527+10963.739071i  sigXC=  -10.906872+10963.739071i  VH=  413.871512+ -0.000674i  Eo=    2.575037
n=35  sigX=   -6.287345              sigC=   -4.619527+10963.739071i  sigXC=  -10.906872+10963.739071i  VH=  413.871512+ -0.000674i  Eo=    2.575038
n=36  sigX=   -5.072272              sigC=   -4.387409+6428.680030i  sigXC=   -9.459681+6428.680030i  VH=  285.160362+ -0.001361i  Eo=    4.137793
n=37  sigX=   -5.072272              sigC=   -4.387409+6428.680030i  sigXC=   -9.459681+6428.680030i  VH=  285.160362+ -0.001361i  Eo=    4.137793
n=38  sigX=   -4.571466              sigC=   -4.358224+3743.074503i  sigXC=   -8.929690+3743.074503i  VH=  253.835127+ -0.001159i  Eo=    4.498560
n=39  sigX=   -4.571466              sigC=   -4.358224+3743.074503i  sigXC=   -8.929690+3743.074503i  VH=  253.835127+ -0.001159i  Eo=    4.498560
n=40  sigX=   -4.837785              sigC=   -4.601360+-656.148924i  sigXC=   -9.439146+-656.148924i  VH=  250.095976+  0.000898i  Eo=    5.011368
n=41  sigX=   -4.837785              sigC=   -4.601360+-656.148924i  sigXC=   -9.439146+-656.148924i  VH=  250.095976+  0.000898i  Eo=    5.011369
n=42  sigX=   -4.158030              sigC=   -4.265435+14666.644874i  sigXC=   -8.423466+14666.644874i  VH=  191.637792+ -0.000042i  Eo=    5.208690
n=43  sigX=   -4.158030              sigC=   -4.265435+14666.644874i  sigXC=   -8.423466+14666.644874i  VH=  191.637792+ -0.000042i  Eo=    5.208690
n=44  sigX=   -4.889457              sigC=   -4.816542+-267.593540i  sigXC=   -9.705999+-267.593540i  VH=  293.321393+ -0.000458i  Eo=    6.274230
