# Generated by LORRAX unknown at 2026-07-21 04:44:03 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=53  sigX=   -5.330871              sigC=   -7.122146+4931.539706i  sigXC=  -12.453017+4931.539706i  VH=  321.769710+ -0.000000i  Eo=   10.761649
n=54  sigX=   -5.328832              sigC=   -7.139607+-3786.020394i  sigXC=  -12.468439+-3786.020394i  VH=  321.995996+ -0.000000i  Eo=   10.776236
n=55  sigX=   -5.328832              sigC=   -7.139607+-3786.020394i  sigXC=  -12.468439+-3786.020394i  VH=  321.995996+ -0.000000i  Eo=   10.776236
n=56  sigX=   -3.374117              sigC=   -3.604740+-190.971478i  sigXC=   -6.978857+-190.971478i  VH=  365.579810  Eo=   10.850507
n=57  sigX=   -3.374117              sigC=   -3.604740+-190.971478i  sigXC=   -6.978857+-190.971478i  VH=  365.579810  Eo=   10.850507
n=58  sigX=   -5.877986              sigC=   -4.623010+-10609.915848i  sigXC=  -10.500997+-10609.915848i  VH=  337.752900  Eo=   11.100027
n=59  sigX=   -5.877986              sigC=   -4.623010+-10609.915848i  sigXC=  -10.500997+-10609.915848i  VH=  337.752900  Eo=   11.100027
n=60  sigX=   -5.896247              sigC=   -4.618411+9837.008681i  sigXC=  -10.514658+9837.008681i  VH=  337.424908  Eo=   11.106968
n=61  sigX=   -5.896247              sigC=   -4.618411+9837.008681i  sigXC=  -10.514658+9837.008681i  VH=  337.424908  Eo=   11.106968
n=62  sigX=   -2.431637              sigC=   -6.402021+-45.450817i  sigXC=   -8.833658+-45.450817i  VH=  209.754888  Eo=   11.233375
n=63  sigX=   -2.431637              sigC=   -6.402021+-45.450817i  sigXC=   -8.833658+-45.450817i  VH=  209.754888  Eo=   11.233375
n=64  sigX=   -2.092277              sigC=  -22.167557+ -8.117277i  sigXC=  -24.259833+ -8.117277i  VH=  187.887791  Eo=   14.035511
n=65  sigX=   -2.092277              sigC=  -22.167557+ -8.117277i  sigXC=  -24.259833+ -8.117277i  VH=  187.887791  Eo=   14.035511
n=66  sigX=   -1.886128              sigC=    3.048896+-156.472385i  sigXC=    1.162769+-156.472385i  VH=  145.090779+  0.000000i  Eo=   14.277797
n=67  sigX=   -1.886128              sigC=    3.048896+-156.472385i  sigXC=    1.162769+-156.472385i  VH=  145.090779+  0.000000i  Eo=   14.277797
n=68  sigX=   -2.950755              sigC=    7.819711+-118.817520i  sigXC=    4.868956+-118.817520i  VH=  214.777333  Eo=   14.661947
n=69  sigX=   -2.950755              sigC=    7.819711+-118.817520i  sigXC=    4.868956+-118.817520i  VH=  214.777333  Eo=   14.661947
n=70  sigX=   -1.649349              sigC=   -7.345062+ -3.376701i  sigXC=   -8.994411+ -3.376701i  VH=  174.903660+ -0.000000i  Eo=   16.071643
n=71  sigX=   -1.649349              sigC=   -7.345062+ -3.376701i  sigXC=   -8.994411+ -3.376701i  VH=  174.903660+ -0.000000i  Eo=   16.071643
n=72  sigX=   -3.240134              sigC=   -3.252805+-2529.302480i  sigXC=   -6.492940+-2529.302480i  VH=  287.592792  Eo=   18.061621
n=73  sigX=   -3.240134              sigC=   -3.252805+-2529.302480i  sigXC=   -6.492940+-2529.302480i  VH=  287.592792  Eo=   18.061621
n=74  sigX=   -3.177008              sigC=   -3.240112+2343.883849i  sigXC=   -6.417120+2343.883849i  VH=  278.481670+  0.000000i  Eo=   18.238654
n=75  sigX=   -3.177008              sigC=   -3.240112+2343.883849i  sigXC=   -6.417120+2343.883849i  VH=  278.481670+  0.000000i  Eo=   18.238654
n=76  sigX=   -2.257902              sigC=  -24.022750+-140.014165i  sigXC=  -26.280653+-140.014165i  VH=  197.074313  Eo=   20.596833
n=77  sigX=   -2.257902              sigC=  -24.022750+-140.014165i  sigXC=  -26.280653+-140.014165i  VH=  197.074313  Eo=   20.596833
n=78  sigX=   -1.997476              sigC=   -4.162724+1211.855707i  sigXC=   -6.160200+1211.855707i  VH=  138.483911  Eo=   20.823270
n=79  sigX=   -1.997476              sigC=   -4.162724+1211.855707i  sigXC=   -6.160200+1211.855707i  VH=  138.483911  Eo=   20.823270
n=80  sigX=   -1.995845              sigC=   -4.147384+-1140.974527i  sigXC=   -6.143230+-1140.974527i  VH=  137.955158  Eo=   20.838623
n=81  sigX=   -1.995845              sigC=   -4.147384+-1140.974527i  sigXC=   -6.143230+-1140.974527i  VH=  137.955158  Eo=   20.838623
n=82  sigX=   -1.130384              sigC=   -1.537086+ -2.396937i  sigXC=   -2.667470+ -2.396937i  VH=  108.842756  Eo=   21.148651
n=83  sigX=   -1.130384              sigC=   -1.537086+ -2.396937i  sigXC=   -2.667470+ -2.396937i  VH=  108.842756  Eo=   21.148651
n=84  sigX=   -1.616652              sigC=   -0.184841+-539.252535i  sigXC=   -1.801493+-539.252535i  VH=  151.917066  Eo=   21.801451
n=85  sigX=   -1.616652              sigC=   -0.184841+-539.252535i  sigXC=   -1.801493+-539.252535i  VH=  151.917066  Eo=   21.801451
n=86  sigX=   -3.072953              sigC=   -2.497214+3106.542085i  sigXC=   -5.570167+3106.542085i  VH=  245.776414  Eo=   22.264416
n=87  sigX=   -3.072953              sigC=   -2.497214+3106.542085i  sigXC=   -5.570167+3106.542085i  VH=  245.776414  Eo=   22.264416
n=88  sigX=   -3.068214              sigC=   -2.523656+-2650.190944i  sigXC=   -5.591870+-2650.190944i  VH=  243.022108  Eo=   22.311075
n=89  sigX=   -3.068214              sigC=   -2.523656+-2650.190944i  sigXC=   -5.591870+-2650.190944i  VH=  243.022108  Eo=   22.311075
n=90  sigX=   -1.859528              sigC=   -8.851318+ 37.065625i  sigXC=  -10.710846+ 37.065625i  VH=  152.868863+  0.000000i  Eo=   22.988316
n=91  sigX=   -1.859528              sigC=   -8.851318+ 37.065625i  sigXC=  -10.710846+ 37.065625i  VH=  152.868863+  0.000000i  Eo=   22.988316
n=92  sigX=   -1.599621              sigC=   -2.597390+-2843.716005i  sigXC=   -4.197011+-2843.716005i  VH=   88.257342+  0.000000i  Eo=   23.435678
n=93  sigX=   -1.599621              sigC=   -2.597390+-2843.716005i  sigXC=   -4.197011+-2843.716005i  VH=   88.257342+  0.000000i  Eo=   23.435678
n=94  sigX=   -1.598451              sigC=   -2.590815+2825.667784i  sigXC=   -4.189266+2825.667784i  VH=   87.910543+  0.000000i  Eo=   23.447355
