# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.09639556E+01  -1.00669293E+01   8.97026252E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.31116513E-02   6.76577948E-02  -2.54538565E-02
#    Nb          CH(vbm)          CH(cbm)             diff
    144  -1.08685546E+01  -9.99756080E+00   8.70993765E-01
    145  -1.08691788E+01  -9.99802930E+00   8.71149496E-01
    146  -1.08697809E+01  -9.99850076E+00   8.71280161E-01
    147  -1.08703158E+01  -9.99888859E+00   8.71427232E-01
    148  -1.08708439E+01  -9.99927155E+00   8.71572396E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07709773E+01  -1.00188163E+01   7.52161068E-01
# Error est. for CH(vbm) CH(cbm) diff =   8.38782742E-02   7.34673857E-02  -1.04108885E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.92217625E-01  -2.64653299E-01   2.75643259E-02
      2  -5.95091091E-01  -5.13219031E-01   8.18720598E-02
      3  -8.77124023E-01  -7.53647316E-01   1.23476707E-01
      4  -1.14657453E+00  -1.00838398E+00   1.38190550E-01
      5  -1.48572941E+00  -1.11786787E+00   3.67861544E-01
      6  -1.80011813E+00  -1.24721906E+00   5.52899075E-01
      7  -3.39103553E+00  -1.36598750E+00   2.02504802E+00
      8  -4.92635460E+00  -1.51576215E+00   3.41059245E+00
      9  -5.03286776E+00  -2.98699226E+00   2.04587549E+00
     10  -5.14030607E+00  -4.45283115E+00   6.87474925E-01
     11  -5.29457788E+00  -4.58498046E+00   7.09597413E-01
     12  -5.43204262E+00  -4.73349760E+00   6.98545016E-01
     13  -5.58834690E+00  -4.90146341E+00   6.86883489E-01
     14  -5.74055604E+00  -5.07967048E+00   6.60885558E-01
     15  -5.82670680E+00  -5.28733633E+00   5.39370477E-01
     16  -5.91324895E+00  -5.49406586E+00   4.19183089E-01
     17  -6.68097335E+00  -6.23436943E+00   4.46603913E-01
     18  -7.46062159E+00  -6.81600333E+00   6.44618258E-01
     19  -7.52022441E+00  -6.88078334E+00   6.39441075E-01
     20  -7.57922105E+00  -6.94718863E+00   6.32032418E-01
     21  -7.82236455E+00  -7.19074958E+00   6.31614968E-01
     22  -8.08141855E+00  -7.44888010E+00   6.32538447E-01
     23  -8.37803523E+00  -7.69967511E+00   6.78360123E-01
     24  -8.61605232E+00  -7.95676402E+00   6.59288296E-01
     25  -8.72982471E+00  -8.06650355E+00   6.63321159E-01
     26  -8.84171934E+00  -8.17416297E+00   6.67556378E-01
     27  -8.93693160E+00  -8.29341073E+00   6.43520875E-01
     28  -9.03894329E+00  -8.41532845E+00   6.23614831E-01
     29  -9.13640784E+00  -8.50087279E+00   6.35535044E-01
     30  -9.22782952E+00  -8.58191232E+00   6.45917200E-01
     31  -9.31039739E+00  -8.65713329E+00   6.53264094E-01
     32  -9.39664294E+00  -8.73378232E+00   6.62860620E-01
     33  -9.48234413E+00  -8.81459421E+00   6.67749923E-01
     34  -9.56920533E+00  -8.90132977E+00   6.67875563E-01
     35  -9.63930046E+00  -8.97028864E+00   6.69011824E-01
     36  -9.70795973E+00  -9.04801837E+00   6.59941364E-01
     37  -9.73214840E+00  -9.07875408E+00   6.53394315E-01
     38  -9.75926811E+00  -9.10827136E+00   6.50996750E-01
     39  -9.80317863E+00  -9.14745046E+00   6.55728168E-01
     40  -9.84620954E+00  -9.18521173E+00   6.60997814E-01
     41  -9.89032527E+00  -9.22153548E+00   6.68789786E-01
     42  -9.93754023E+00  -9.25963848E+00   6.77901752E-01
     43  -9.98582475E+00  -9.29897619E+00   6.86848562E-01
     44  -1.00362074E+01  -9.33810396E+00   6.98103409E-01
     45  -1.00695063E+01  -9.37636768E+00   6.93138628E-01
     46  -1.00985432E+01  -9.41194227E+00   6.86600960E-01
     47  -1.01236941E+01  -9.43245454E+00   6.91239597E-01
     48  -1.01473094E+01  -9.45323057E+00   6.94078876E-01
     49  -1.01827313E+01  -9.48633214E+00   6.96399160E-01
     50  -1.02188646E+01  -9.51851270E+00   7.00351869E-01
     51  -1.02404170E+01  -9.53628607E+00   7.04130920E-01
     52  -1.02609494E+01  -9.55408896E+00   7.06860434E-01
     53  -1.02743487E+01  -9.56717399E+00   7.07174716E-01
     54  -1.02902508E+01  -9.58073979E+00   7.09510975E-01
     55  -1.03108655E+01  -9.59961609E+00   7.11249406E-01
     56  -1.03317070E+01  -9.61657639E+00   7.15130571E-01
     57  -1.03505992E+01  -9.63273053E+00   7.17868652E-01
