# Generated by LORRAX unknown at 2026-07-21 19:57:30 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	              57	      +10.866953	      +15.137434	      +27.151453	     +361.562936	       -3.390657	       +0.000000	       -3.171937	       +0.000008	       -0.753178	       -0.000001	     +382.151795	     +382.151795
               0	              58	      +11.110950	      +15.381430	      +52.046209	     +330.426234	       -5.880391	       +0.000000	       -3.995811	       +0.001717	       -0.743127	       -0.000001	     +372.596241	     +372.596241
               0	              59	      +11.110950	      +15.381430	      +52.046209	     +330.426234	       -5.880391	       +0.000000	       -3.995811	       +0.001717	       -0.743127	       -0.000001	     +372.596241	     +372.596241
               0	              60	      +11.117844	      +15.388325	      +52.187149	     +329.220290	       -5.899061	       +0.000000	       -3.972410	       -0.001759	       -0.742847	       -0.000001	     +371.535968	     +371.535968
               0	              61	      +11.117844	      +15.388325	      +52.187149	     +329.220290	       -5.899061	       +0.000000	       -3.972410	       -0.001759	       -0.742847	       -0.000001	     +371.535968	     +371.535968
               0	              62	      +11.239118	      +15.509598	      +20.784174	     +160.271805	       -2.428101	       +0.000000	       -2.678131	       +0.000000	       -0.737954	       -0.000001	     +175.949746	     +175.949746
               0	              63	      +11.239118	      +15.509598	      +20.784174	     +160.271805	       -2.428101	       +0.000000	       -2.678131	       +0.000000	       -0.737954	       -0.000001	     +175.949746	     +175.949746
               0	              64	      +14.037417	      +18.307898	      +23.543616	     +161.798676	       -2.082139	       +0.000000	       -2.227228	       +0.000005	       -0.640596	       -0.000000	     +181.032925	     +181.032925
               0	              65	      +14.037417	      +18.307898	      +23.543616	     +161.798676	       -2.082139	       +0.000000	       -2.227228	       +0.000005	       -0.640596	       -0.000000	     +181.032925	     +181.032925
               0	              66	      +14.279780	      +18.550261	      +22.986517	      +64.158855	       -1.843233	       +0.000000	       -2.283690	       +0.000010	       -0.633359	       -0.000000	      +83.018449	      +83.018449
               0	              67	      +14.279780	      +18.550261	      +22.986517	      +64.158855	       -1.843233	       +0.000000	       -2.283690	       +0.000010	       -0.633359	       -0.000000	      +83.018449	      +83.018449
               0	              68	      +14.666693	      +18.937174	      +32.924828	     +176.260285	       -2.995508	       +0.000000	       -2.478449	       +0.000032	       -0.622138	       -0.000000	     +203.711157	     +203.711157
               0	              69	      +14.666693	      +18.937174	      +32.924828	     +176.260285	       -2.995508	       +0.000000	       -2.478449	       +0.000032	       -0.622138	       -0.000000	     +203.711157	     +203.711157
