# Generated by LORRAX 0.1.0 at 2026-05-12 05:59:05 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	              55	      +10.765263	      +10.765263	      +46.999011	     +313.852793	       -9.143571	       +0.000000	       -9.143571	       +0.000000	     +342.564663	     +342.564663
               0	              56	      +10.847685	      +10.847685	      +27.096364	     +359.558064	       -6.949185	       +0.000000	       -6.949185	       +0.000000	     +372.756058	     +372.756058
               0	              57	      +10.847685	      +10.847685	      +27.096364	     +359.558064	       -6.949185	       +0.000000	       -6.949185	       +0.000000	     +372.756058	     +372.756058
               0	              58	      +11.103919	      +11.103919	      +52.071325	     +326.344132	       -7.899825	       +0.000000	       -7.899825	       +0.000000	     +362.615808	     +362.615808
               0	              59	      +11.103919	      +11.103919	      +52.071325	     +326.344132	       -7.899825	       +0.000000	       -7.899825	       +0.000000	     +362.615808	     +362.615808
               0	              60	      +11.110759	      +11.110759	      +52.215015	     +325.517274	       -7.888365	       +0.000000	       -7.888365	       +0.000000	     +361.955558	     +361.955558
               0	              61	      +11.110759	      +11.110759	      +52.215015	     +325.517274	       -7.888365	       +0.000000	       -7.888365	       +0.000000	     +361.955558	     +361.955558
               0	              62	      +11.238346	      +11.238346	      +20.779968	     +239.928434	       -3.311564	       +0.000000	       -3.311564	       +0.000000	     +254.085274	     +254.085274
               0	              63	      +11.238346	      +11.238346	      +20.779968	     +239.928434	       -3.311564	       +0.000000	       -3.311564	       +0.000000	     +254.085274	     +254.085274
               0	              64	      +14.009905	      +14.009905	      +23.572159	     +170.203672	       -5.220031	       +0.000000	       -5.220031	       +0.000000	     +183.335769	     +183.335769
               0	              65	      +14.009905	      +14.009905	      +23.572159	     +170.203672	       -5.220031	       +0.000000	       -5.220031	       +0.000000	     +183.335769	     +183.335769
               0	              66	      +14.263648	      +14.263648	      +24.020481	     +179.944374	       -3.092110	       +0.000000	       -3.092110	       +0.000000	     +197.780636	     +197.780636
               0	              67	      +14.263648	      +14.263648	      +24.020481	     +179.944374	       -3.092110	       +0.000000	       -3.092110	       +0.000000	     +197.780636	     +197.780636
               0	              68	      +14.654708	      +14.654708	      +31.957909	     +203.939831	       -4.642786	       +0.000000	       -4.642786	       +0.000000	     +226.612167	     +226.612167
               0	              69	      +14.654708	      +14.654708	      +31.957909	     +203.939831	       -4.642786	       +0.000000	       -4.642786	       +0.000000	     +226.612167	     +226.612167
               0	              70	      +16.051969	      +16.051969	      +21.426708	     +163.510469	       -3.225170	       +0.000000	       -3.225170	       +0.000000	     +178.486838	     +178.486838
               0	              71	      +16.051969	      +16.051969	      +21.426708	     +163.510469	       -3.225170	       +0.000000	       -3.225170	       +0.000000	     +178.486838	     +178.486838
               0	              72	      +18.076102	      +18.076102	      +40.962799	     +288.157490	       -5.582359	       +0.000000	       -5.582359	       +0.000000	     +317.955571	     +317.955571
               0	              73	      +18.076102	      +18.076102	      +40.962800	     +288.157490	       -5.582359	       +0.000000	       -5.582359	       +0.000000	     +317.955572	     +317.955572
               0	              74	      +18.251525	      +18.251525	      +40.374282	     +282.074449	       -5.387491	       +0.000000	       -5.387491	       +0.000000	     +311.673749	     +311.673749
               0	              75	      +18.251525	      +18.251525	      +40.374282	     +282.074449	       -5.387491	       +0.000000	       -5.387491	       +0.000000	     +311.673748	     +311.673748
               0	              76	      +20.596318	      +20.596318	      +35.278392	     +222.186504	       -4.500932	       +0.000000	       -4.500932	       +0.000000	     +248.463032	     +248.463032
               0	              77	      +20.596318	      +20.596318	      +35.278392	     +222.186504	       -4.500932	       +0.000000	       -4.500932	       +0.000000	     +248.463032	     +248.463032
               0	              78	      +20.815168	      +20.815168	      +36.342655	     +187.918102	       -4.151722	       +0.000000	       -4.151722	       +0.000000	     +215.957313	     +215.957313
               0	              79	      +20.815168	      +20.815168	      +36.342655	     +187.918102	       -4.151722	       +0.000000	       -4.151722	       +0.000000	     +215.957313	     +215.957313

k-point 1:
               1	               0	      -65.392799	      -65.392799	      +29.311577	     +591.590678	      -40.720985	       -3.563713	      -40.720985	       +0.000000	     +539.460286	     +539.460286
               1	               1	      -65.392799	      -65.392799	      +29.311577	     +591.590678	      -40.720985	       -3.563713	      -40.720985	       +0.000000	     +539.460286	     +539.460286
               1	               2	      -42.080407	      -42.080407	      +50.926996	     +584.928472	      -34.734373	       -3.563713	      -34.734373	       +0.000000	     +566.386721	     +566.386721
               1	               3	      -42.080407	      -42.080407	      +50.926996	     +584.928472	      -34.734373	       -3.563713	      -34.734373	       +0.000000	     +566.386722	     +566.386722
               1	               4	      -39.576634	      -39.576634	      +47.748863	     +579.176245	      -34.228261	       -3.563713	      -34.228261	       +0.000000	     +558.468586	     +558.468586
               1	               5	      -39.576634	      -39.576634	      +47.748863	     +579.176245	      -34.228261	       -3.563713	      -34.228261	       +0.000000	     +558.468586	     +558.468586
               1	               6	      -39.426548	      -39.426548	      +48.742352	     +584.245512	      -34.709728	       -3.563713	      -34.709728	       +0.000000	     +563.568409	     +563.568409
               1	               7	      -39.426548	      -39.426548	      +48.742353	     +584.245512	      -34.709728	       -3.563713	      -34.709728	       +0.000000	     +563.568409	     +563.568409
               1	               8	      -18.084493	      -18.084493	      +13.069808	     +389.205511	      -26.044109	       -3.563713	      -26.044109	       +0.000000	     +350.187101	     +350.187101
               1	               9	      -18.084493	      -18.084493	      +13.069808	     +389.205511	      -26.044109	       -3.563713	      -26.044109	       +0.000000	     +350.187101	     +350.187101
               1	              10	      -17.638783	      -17.638783	      +13.836883	     +372.192811	      -26.211659	       -3.563713	      -26.211659	       +0.000000	     +333.606376	     +333.606376
               1	              11	      -17.638783	      -17.638783	      +13.836883	     +372.192811	      -26.211659	       -3.563713	      -26.211659	       +0.000000	     +333.606376	     +333.606376
               1	              12	      -10.524665	      -10.524665	      +22.254093	     +419.985562	      -21.287346	       -3.563713	      -21.287346	       +0.000000	     +399.664963	     +399.664963
               1	              13	      -10.524665	      -10.524665	      +22.254093	     +419.985562	      -21.287346	       -3.563713	      -21.287346	       +0.000000	     +399.664963	     +399.664963
               1	              14	       -9.566583	       -9.566583	      +23.065894	     +378.680610	      -22.807471	       -3.563713	      -22.807471	       +0.000000	     +356.131562	     +356.131562
               1	              15	       -9.566583	       -9.566583	      +23.065895	     +378.680610	      -22.807471	       -3.563713	      -22.807471	       +0.000000	     +356.131562	     +356.131562
               1	              16	       -9.176330	       -9.176330	      +21.632779	     +377.118527	      -20.500541	       -3.563713	      -20.500541	       +0.000000	     +357.750225	     +357.750225
               1	              17	       -9.176330	       -9.176330	      +21.632779	     +377.118527	      -20.500541	       -3.563713	      -20.500541	       +0.000000	     +357.750225	     +357.750225
               1	              18	       -8.120290	       -8.120290	      +34.386661	     +446.502752	      -23.688773	       -3.563713	      -23.688773	       +0.000000	     +433.511867	     +433.511867
