
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   2   -2.977120615   -2.977120615  -16.617435372   12.154712694   -9.542061992  -14.004784671    8.198816881   -5.805967790   -5.805967790   -8.999033035  -13.461755713   -5.262938832   -5.262938832    1.000000000
   3   -0.116047793   -0.116047793  -15.156472605   10.977474264   -9.521167701  -13.700166041   11.029641360   -2.670524681   -2.670524681   -8.822773348  -13.001771689   -1.972130329   -1.972130329    1.000000000
   4   -0.116047793   -0.116047793  -15.156472605   10.977474264   -9.521167701  -13.700166041   11.029641360   -2.670524681   -2.670524681   -8.822773348  -13.001771689   -1.972130329   -1.972130329    1.000000000
   5    2.729548220    2.729548220  -12.921080297    9.261486102   -9.122410143  -12.782004338   13.218510592    0.436506254    0.436506254   -8.351588442  -12.011182637    1.207327955    1.207327955    1.000000000
   6    2.729548220    2.729548220  -12.921080297    9.261486102   -9.122410143  -12.782004338   13.218510592    0.436506254    0.436506254   -8.351588442  -12.011182637    1.207327955    1.207327955    1.000000000
   7    4.062046497    4.062046497  -13.154653943    9.317754274   -9.442834929  -13.279734599   15.089309643    1.809575044    1.809575044   -8.514142617  -12.351042286    2.738267357    2.738267357    1.000000000
   8    4.062046497    4.062046497  -13.154653943    9.317754274   -9.442834929  -13.279734599   15.089309643    1.809575044    1.809575044   -8.514142617  -12.351042286    2.738267357    2.738267357    1.000000000
   9    7.784320141    7.784320141   -5.174535211    3.030762844   -8.503346606  -10.647118973   17.225179462    6.578060489    6.578060489   -7.605597782   -9.749370149    7.475809313    7.475809313    1.000000000
  10    7.784320141    7.784320141   -5.174535211    3.030762844   -8.503346606  -10.647118973   17.225179462    6.578060489    6.578060489   -7.605597782   -9.749370149    7.475809313    7.475809313    1.000000000
  11   10.722889408   10.722889408   -4.856225887    2.636337740   -8.747570361  -10.967458509   20.583712521    9.616254012    9.616254012   -7.572087835   -9.791975982   10.791736539   10.791736539    1.000000000
  12   10.722889408   10.722889408   -4.856225887    2.636337740   -8.747570361  -10.967458509   20.583712521    9.616254012    9.616254012   -7.572087835   -9.791975982   10.791736539   10.791736539    1.000000000
