# bgw_ik  gw_ki  kx       ky       kz       band  BGW_Cor'     GW_sigC       diff
      6      7  -0.00000  0.25000  0.75000    11    -5.334225          nan        +nan
      6      7  -0.00000  0.25000  0.75000    12    -5.334225          nan        +nan
      6      7  -0.00000  0.25000  0.75000    13    -5.038997          nan        +nan
      6      7  -0.00000  0.25000  0.75000    14    -5.038997          nan        +nan
      6      7  -0.00000  0.25000  0.75000    15    -5.618375          nan        +nan
      6      7  -0.00000  0.25000  0.75000    16    -5.618375          nan        +nan
      7     10   0.00000  0.50000  0.50000     1     2.544335          nan        +nan
      7     10   0.00000  0.50000  0.50000     2     2.544335          nan        +nan
      7     10   0.00000  0.50000  0.50000     3     2.544335          nan        +nan
      7     10   0.00000  0.50000  0.50000     4     2.544335          nan        +nan
      7     10   0.00000  0.50000  0.50000     5     0.857329          nan        +nan
      7     10   0.00000  0.50000  0.50000     6     0.857329          nan        +nan
      7     10   0.00000  0.50000  0.50000     7     0.857329          nan        +nan
      7     10   0.00000  0.50000  0.50000     8     0.857329          nan        +nan
      7     10   0.00000  0.50000  0.50000     9    -4.626071          nan        +nan
      7     10   0.00000  0.50000  0.50000    10    -4.626071          nan        +nan
      7     10   0.00000  0.50000  0.50000    11    -4.626071          nan        +nan
      7     10   0.00000  0.50000  0.50000    12    -4.626071          nan        +nan
      7     10   0.00000  0.50000  0.50000    13    -6.288573          nan        +nan
      7     10   0.00000  0.50000  0.50000    14    -6.288573          nan        +nan
      7     10   0.00000  0.50000  0.50000    15    -6.288573          nan        +nan
      7     10   0.00000  0.50000  0.50000    16    -6.288573          nan        +nan
      8     27   0.25000  0.50000  0.75000     1     2.503206          nan        +nan
      8     27   0.25000  0.50000  0.75000     2     2.503206          nan        +nan
      8     27   0.25000  0.50000  0.75000     3     2.501709          nan        +nan
      8     27   0.25000  0.50000  0.75000     4     2.501709          nan        +nan
      8     27   0.25000  0.50000  0.75000     5     0.858912          nan        +nan
      8     27   0.25000  0.50000  0.75000     6     0.858912          nan        +nan
      8     27   0.25000  0.50000  0.75000     7     0.851774          nan        +nan
      8     27   0.25000  0.50000  0.75000     8     0.851774          nan        +nan
      8     27   0.25000  0.50000  0.75000     9    -4.984791          nan        +nan
      8     27   0.25000  0.50000  0.75000    10    -4.984791          nan        +nan
      8     27   0.25000  0.50000  0.75000    11    -4.985671          nan        +nan
      8     27   0.25000  0.50000  0.75000    12    -4.985671          nan        +nan
      8     27   0.25000  0.50000  0.75000    13    -5.439394          nan        +nan
      8     27   0.25000  0.50000  0.75000    14    -5.439394          nan        +nan
      8     27   0.25000  0.50000  0.75000    15    -5.441439          nan        +nan
      8     27   0.25000  0.50000  0.75000    16    -5.441439          nan        +nan
