kPartitionId           	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_797, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_796, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_795, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_794, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_793, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_791, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_790, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_789, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_788, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_787, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_786, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_785, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_783, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_782, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_781, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_780, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_779, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_778, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_777, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_775, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_774, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_773, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_772, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_771, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_770, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_769, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_767, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_slice_fusion_1, launch dimensions = blocks: {60000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_766, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_765, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_764, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_763, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_762, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_761, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_759, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_758, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_757, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_756, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_755, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_754, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_753, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_751, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_750, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_749, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_748, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_747, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_746, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_745, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_743, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_742, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_741, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_740, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_739, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_738, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_737, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_735, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_734, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_733, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_732, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_731, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_730, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_729, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
