
 frequency_dependence   3

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   3    2.755220329    2.755220329  -14.052773120   10.271945541   -7.758346055  -11.539173634   14.406760418    2.867586784    2.840375218   -7.758346055  -11.539173634    2.867586784    2.840375218    0.757831943
   4    2.755220329    2.755220329  -14.052773120   10.271945541   -7.758346055  -11.539173634   14.406760418    2.867586784    2.840375218   -7.758346055  -11.539173634    2.867586784    2.840375218    0.757831943
   5    4.373517855    4.373517855  -12.957058595    9.524734418   -7.660985873  -11.093310050   15.410193914    4.316883864    4.329777686   -7.660985873  -11.093310050    4.316883864    4.329777686    0.772330682
   6    4.373517855    4.373517855  -12.957058595    9.524734418   -7.660985873  -11.093310050   15.410193914    4.316883864    4.329777686   -7.660985873  -11.093310050    4.316883864    4.329777686    0.772330682
   7    4.381956001    4.381956001  -12.945051898    9.520634854   -7.662613856  -11.087030900   15.413878367    4.326847467    4.339418772   -7.662613856  -11.087030900    4.326847467    4.339418772    0.771880990
   8    4.381956001    4.381956001  -12.945051898    9.520634854   -7.662613856  -11.087030900   15.413878367    4.326847467    4.339418772   -7.662613856  -11.087030900    4.326847467    4.339418772    0.771880990
   9    7.392380051    7.392380051   -5.506123421    3.838902924   -7.298263963   -8.965484460   17.005016696    8.039532236    7.899013876   -7.298263963   -8.965484460    8.039532236    7.899013876    0.782866590
  10    7.392380051    7.392380051   -5.506123421    3.838902924   -7.298263963   -8.965484460   17.005016696    8.039532236    7.899013876   -7.298263963   -8.965484460    8.039532236    7.899013876    0.782866590
  11    9.398123501    9.398123501   -4.596173007    3.430977965   -7.485620708   -8.650815750   18.765402584   10.114586834    9.953345743   -7.485620708   -8.650815750   10.114586834    9.953345743    0.774948579
  12    9.398123501    9.398123501   -4.596173007    3.430977965   -7.485620708   -8.650815750   18.765402584   10.114586834    9.953345743   -7.485620708   -8.650815750   10.114586834    9.953345743    0.774948579
