# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=11   E_DFT=  -17.638834  Re= 3171.062917  Im=142012773.193579
n=12   E_DFT=  -10.524741  Re=   12.716588  Im=-104646861.633463
n=13   E_DFT=  -10.524740  Re=   26.721617  Im=-91009609.283467
n=14   E_DFT=   -9.566649  Re=  498.252135  Im=-192560884.970813
n=15   E_DFT=   -9.566643  Re=  494.093616  Im=-212709508.784343
n=16   E_DFT=   -9.176397  Re=  370.119469  Im=-213082624.157815
n=17   E_DFT=   -9.176388  Re=  382.998320  Im=-212494196.135327
n=18   E_DFT=   -8.120369  Re= -371.622804  Im=-65419976.500185
n=19   E_DFT=   -8.120368  Re= -369.341518  Im=-107987322.050786
n=20   E_DFT=   -7.044106  Re=  114.561812  Im=-104621819.922767
n=21   E_DFT=   -7.044105  Re=  115.451103  Im=-115269063.591794
n=22   E_DFT=   -6.595156  Re=  328.736492  Im=-74652637.704567
n=23   E_DFT=   -6.595153  Re=  401.857088  Im=-271361600.590762
n=24   E_DFT=   -6.289985  Re=   40.276205  Im=482674193.493832
n=25   E_DFT=   -6.289982  Re=  128.464057  Im=283739477.511976
n=26   E_DFT=   -3.056554  Re= -569.877811  Im=-1178659308.880824
n=27   E_DFT=   -3.056552  Re=  188.597882  Im=377882205.185494
n=28   E_DFT=   -2.954672  Re=  -51.165803  Im=-1265567394.964832
n=29   E_DFT=   -2.954668  Re=  444.195906  Im=-362112533.589235
n=30   E_DFT=   -1.863695  Re=  -57.201032  Im=-125829221.868311
n=31   E_DFT=   -1.863691  Re=   17.988660  Im=-126166800.398982
n=32   E_DFT=   -1.263962  Re=  358.852962  Im=113026524.610295
n=33   E_DFT=   -1.263960  Re=  386.211578  Im=162009499.730261
n=34   E_DFT=    2.649821  Re=  492.545830  Im=191121938.070198
n=35   E_DFT=    2.649825  Re=  485.394230  Im=231269413.117247
n=36   E_DFT=    2.893171  Re=  -63.441515  Im=24980339.783882
n=37   E_DFT=    2.893182  Re=  -65.776792  Im=77566747.685165
n=38   E_DFT=    3.304530  Re= -319.113287  Im=329498718.565044
n=39   E_DFT=    3.304542  Re= -367.403085  Im=331199335.273952
n=40   E_DFT=    5.155230  Re= 1329.561832  Im=189174179.667536
n=41   E_DFT=    5.155240  Re= 1227.843422  Im=275371861.102144
n=42   E_DFT=    5.593483  Re=  624.480646  Im=-194913059.976546
