# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              0		             59		         38.065		         44.700		         44.417		         -1.194		         -3.792		         -1.445		         -1.673		            nan		            nan		          0.000		            nan

k-point 1:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              1		              0		        -11.533		         -4.897		          3.492		         -3.594		         -8.331		        -14.672		          2.119		            nan		            nan		          0.001		            nan
              1		              1		        -11.533		         -4.897		          3.492		         -3.594		         -8.331		        -14.672		          2.119		            nan		            nan		          0.001		            nan
              1		              2		         -4.295		          2.340		         11.653		         -2.859		         -7.825		        -10.871		          0.688		          3.911		         -2.282		          0.001		          1.630
              1		              3		         -4.295		          2.340		         11.653		         -2.859		         -7.825		        -10.871		          0.688		          3.911		         -2.282		          0.001		          1.630
              1		              4		         -1.137		          5.499		         16.493		         -2.942		         -7.736		        -10.206		          0.516		          3.356		         -2.595		          0.002		          0.763
              1		              5		         -1.137		          5.499		         16.493		         -2.942		         -7.736		        -10.206		          0.516		          3.356		         -2.595		          0.002		          0.763
              1		              6		         -1.105		          5.530		         16.479		         -2.941		         -7.737		        -10.201		          0.514		          3.352		         -2.599		          0.002		          0.755
              1		              7		         -1.105		          5.530		         16.479		         -2.942		         -7.739		        -10.203		          0.515		          3.353		         -2.600		          0.002		          0.755
              1		              8		          1.659		          8.295		         16.742		         -2.186		         -7.526		         -5.245		         -3.257		          1.163		         -4.779		         -0.000		         -3.615
              1		              9		          1.659		          8.295		         16.742		         -2.186		         -7.526		         -5.245		         -3.257		          1.163		         -4.779		         -0.000		         -3.616
              1		             10		          3.122		          9.757		         18.755		         -2.127		         -7.367		         -4.723		         -3.342		          0.953		         -4.945		          0.000		         -3.991
