n=47   E_DFT=    7.479930  Re=   17.311448  Im=1208367.671009
n=48   E_DFT=    7.497363  Re=   16.738780  Im=-491825.725977
n=49   E_DFT=    7.497363  Re=    8.673280  Im=490143.687033
n=50   E_DFT=    7.654692  Re=  -27.423171  Im=268548.325383
n=51   E_DFT=    7.654692  Re=  -22.476032  Im=-267223.956016
n=52   E_DFT=   10.761649  Re=   -3.887790  Im=-649238.426996
n=53   E_DFT=   10.761649  Re=   26.722248  Im=648848.380233
n=54   E_DFT=   10.776236  Re=   -5.094046  Im=460218.002242
n=55   E_DFT=   10.776236  Re=   27.979428  Im=-457700.489920
n=56   E_DFT=   10.850507  Re=   16.081959  Im=  584.783210
n=57   E_DFT=   10.850507  Re=   16.000058  Im= -767.854206
n=58   E_DFT=   11.100027  Re=   17.766560  Im=-181332.760113
n=59   E_DFT=   11.100027  Re=   13.612621  Im=160906.680123
n=60   E_DFT=   11.106968  Re=   13.774319  Im=-147266.248385
n=61   E_DFT=   11.106968  Re=   17.584205  Im=167513.288373
n=62   E_DFT=   11.233375  Re=   90.992741  Im= 1774.809341
n=63   E_DFT=   11.233375  Re=   88.314347  Im=-1618.045325
n=64   E_DFT=   14.035511  Re=  145.532259  Im=-7447.521633
n=65   E_DFT=   14.035511  Re=  149.309376  Im= 7810.688366
n=66   E_DFT=   14.277797  Re=  110.831563  Im=20215.046585
n=67   E_DFT=   14.277797  Re=  111.083478  Im=-19621.974471
n=68   E_DFT=   14.661947  Re=  110.377720  Im=47176.472500
n=69   E_DFT=   14.661947  Re=  102.240651  Im=-46264.604832
n=70   E_DFT=   16.071643  Re=  206.557788  Im= -409.690078
n=71   E_DFT=   16.071643  Re=  205.535510  Im=  471.488440
n=72   E_DFT=   18.061621  Re=   25.672779  Im=138256.837527
n=73   E_DFT=   18.061621  Re=   26.376644  Im=-130651.315761
n=74   E_DFT=   18.238654  Re=   24.713437  Im=-68524.318771
n=75   E_DFT=   18.238654  Re=   25.984580  Im=60945.588236
n=76   E_DFT=   20.596833  Re=   90.720260  Im=-42375.905410
n=77   E_DFT=   20.596833  Re=   95.311886  Im=42627.889492
n=78   E_DFT=   20.823270  Re=   19.376455  Im=423582.469981
n=79   E_DFT=   20.823270  Re=   20.272093  Im=-408728.791203
n=80   E_DFT=   20.838623  Re=   20.013831  Im=458448.469265
n=81   E_DFT=   20.838623  Re=   19.419499  Im=-473358.693032
n=82   E_DFT=   21.148651  Re=  198.546559  Im= 1786.979633
n=83   E_DFT=   21.148651  Re=  197.747991  Im=-1766.600825
n=84   E_DFT=   21.801451  Re=   89.766270  Im=-20427.668852
n=85   E_DFT=   21.801451  Re=   90.168896  Im=21281.686372
n=86   E_DFT=   22.264416  Re=   37.315721  Im=299132.710787
n=87   E_DFT=   22.264416  Re=   37.987674  Im=-360180.087454
n=88   E_DFT=   22.311075  Re=   36.414712  Im=-280692.223912
n=89   E_DFT=   22.311075  Re=   38.525503  Im=338471.535178
n=90   E_DFT=   22.988316  Re=   48.348347  Im= 1160.284991
n=91   E_DFT=   22.988316  Re=   62.954148  Im=-1098.324843
n=92   E_DFT=   23.435678  Re=   49.753851  Im=45195.237584
n=93   E_DFT=   23.435678  Re=   37.244492  Im=-38839.565842
n=94   E_DFT=   23.447355  Re=   36.881818  Im=38246.337678
n=95   E_DFT=   23.447355  Re=   50.099491  Im=-44312.018829
n=96   E_DFT=   24.078748  Re=   30.344271  Im=563828.928070
n=97   E_DFT=   24.078748  Re=   42.529882  Im=-552314.764975
n=98   E_DFT=   24.087456  Re=   78.467849  Im=12439.024901
n=99   E_DFT=   24.087456  Re=   76.864094  Im=-12221.122877

k-point 1:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.465980  Re=  -61.956951  Im=  232.889926
n=1    E_DFT=  -65.465980  Re=  -46.016338  Im= 9532.779619
n=2    E_DFT=  -42.126171  Re=  -95.195886  Im=619052.229916
n=3    E_DFT=  -42.126171  Re= -115.700606  Im=803729.820384
n=4    E_DFT=  -39.593526  Re= -171.928323  Im=-818436.978484
n=5    E_DFT=  -39.593526  Re= -200.167141  Im=-613193.281785
n=6    E_DFT=  -39.464894  Re=  -32.545986  Im=42397.681492
n=7    E_DFT=  -39.464893  Re=  -45.254130  Im=487371.681524
n=8    E_DFT=  -18.989633  Re= -251.119925  Im=-175882.599683
n=9    E_DFT=  -18.989633  Re= -250.277206  Im=-190148.901188
n=10   E_DFT=  -18.014213  Re=  573.401494  Im=-570960.430872
n=11   E_DFT=  -18.014213  Re=  581.105312  Im=-573185.885455
n=12   E_DFT=  -10.482477  Re= 1121.991126  Im=-36227.319269
n=13   E_DFT=  -10.482477  Re= 1100.515868  Im=-47417.023733
n=14   E_DFT=   -8.606804  Re= -503.117501  Im=-2349840.156986
n=15   E_DFT=   -8.606804  Re= -516.748552  Im=-2462521.552595
n=16   E_DFT=   -8.256218  Re= -681.580184  Im=-430612.179034
n=17   E_DFT=   -8.256218  Re= -627.841465  Im=-304070.790024
n=18   E_DFT=   -7.436881  Re= -111.041298  Im=147425.563700
n=19   E_DFT=   -7.436880  Re= -125.279274  Im=159790.489734
n=20   E_DFT=   -7.317414  Re=  361.580247  Im=16697.295902
n=21   E_DFT=   -7.317414  Re=  309.639564  Im=-195212.592090
n=22   E_DFT=   -6.409757  Re= -230.808570  Im=1434864.883544
n=23   E_DFT=   -6.409757  Re= -217.550264  Im=1328736.584665
n=24   E_DFT=   -5.682865  Re= -196.990485  Im=-6840763.529029
n=25   E_DFT=   -5.682865  Re= -167.351044  Im=-6660561.926243
n=26   E_DFT=   -3.039484  Re= -130.387327  Im=7114540.606422
n=27   E_DFT=   -3.039482  Re= -248.221810  Im=7372173.499149
n=28   E_DFT=   -2.737502  Re= 1179.450217  Im=37670.803889
n=29   E_DFT=   -2.737499  Re= 1058.555868  Im=618457.742430
n=30   E_DFT=   -2.697296  Re= 2081.295259  Im=834482.905767
n=31   E_DFT=   -2.697295  Re= 2092.309225  Im=529285.417573
n=32   E_DFT=   -1.968038  Re= -230.400347  Im=297148.518376
n=33   E_DFT=   -1.968037  Re= -244.702494  Im=-119015.949269
n=34   E_DFT=    2.575037  Re= -584.428601  Im=-443804.502968
n=35   E_DFT=    2.575038  Re= -577.425697  Im=-448956.885502
n=36   E_DFT=    4.137793  Re=-1261.902456  Im=288930.952066
n=37   E_DFT=    4.137793  Re=-1246.268180  Im=267628.836668
n=38   E_DFT=    4.498560  Re=  -27.991980  Im=41487.688627
n=39   E_DFT=    4.498560  Re=  -28.583956  Im=50055.015844
n=40   E_DFT=    5.011368  Re=  465.846620  Im=3890546.238493
n=41   E_DFT=    5.011369  Re=  469.590120  Im=3869857.265702
n=42   E_DFT=    5.208690  Re=-1015.943892  Im=-338033.425537
n=43   E_DFT=    5.208690  Re=-1028.131271  Im=-335811.400725
n=44   E_DFT=    6.274230  Re=  -71.497877  Im=722546.671139
n=45   E_DFT=    6.274230  Re=  -73.400311  Im=723454.876711
n=46   E_DFT=    6.755121  Re= -106.668056  Im=292976.332025
n=47   E_DFT=    6.755122  Re=  -93.135773  Im=237628.798836
n=48   E_DFT=    7.214026  Re=  432.889045  Im=-3139341.697278
n=49   E_DFT=    7.214026  Re=  404.979755  Im=-2991934.152854
n=50   E_DFT=    7.784806  Re= -289.859352  Im=-201087.069587
n=51   E_DFT=    7.784806  Re= -297.034784  Im=-186912.758528
n=52   E_DFT=    9.124082  Re= -736.880004  Im=-1299984.742588
n=53   E_DFT=    9.124082  Re= -753.219258  Im=-1278765.395353
n=54   E_DFT=    9.888660  Re=  -48.826597  Im=-345330.738024
n=55   E_DFT=    9.888660  Re=  -87.679743  Im=-601181.681119
n=56   E_DFT=   10.280456  Re=  176.598507  Im=5976121.388086
n=57   E_DFT=   10.280457  Re=  155.744760  Im=5810466.290288
n=58   E_DFT=   11.412539  Re= -145.461282  Im=200746.766769
n=59   E_DFT=   11.412539  Re= -144.968516  Im=146298.118196
n=60   E_DFT=   12.579023  Re=  244.378025  Im=35303.896118
n=61   E_DFT=   12.579023  Re=  246.834660  Im=55082.722805
n=62   E_DFT=   13.626951  Re= -214.498037  Im=-422845.015142
n=63   E_DFT=   13.626951  Re= -212.143391  Im=-411894.349570
n=64   E_DFT=   15.232396  Re=  217.905465  Im= 4076.254541
n=65   E_DFT=   15.232396  Re=  214.194802  Im=-10050.845088
n=66   E_DFT=   15.261278  Re=   63.197092  Im=-448476.886016
n=67   E_DFT=   15.261279  Re=   69.244352  Im=-397863.667136
n=68   E_DFT=   16.200358  Re=  110.414772  Im=14445.833384
n=69   E_DFT=   16.200358  Re=  111.408192  Im= 7371.801028
n=70   E_DFT=   16.815710  Re= -646.447314  Im=371268.304725
n=71   E_DFT=   16.815710  Re= -649.812865  Im=350407.810076
n=72   E_DFT=   17.301584  Re=-1113.285499  Im=262354.638266
n=73   E_DFT=   17.301584  Re=-1111.485503  Im=302949.087817
n=74   E_DFT=   17.627891  Re=  -46.652707  Im=1325815.632108
n=75   E_DFT=   17.627893  Re=  -81.541844  Im=1428662.146431
n=76   E_DFT=   18.613617  Re=-1583.967603  Im=-4252103.455984
n=77   E_DFT=   18.613619  Re=-1431.526312  Im=-2883210.412239
n=78   E_DFT=   18.800907  Re=  118.325232  Im=-551939.274466
n=79   E_DFT=   18.800907  Re=  -31.124693  Im=-1766466.226721
n=80   E_DFT=   19.943885  Re=  -50.445037  Im=-382787.125923
n=81   E_DFT=   19.943885  Re=   -2.576114  Im=-84749.719181
n=82   E_DFT=   20.086113  Re=   -7.576857  Im=-207300.693349
n=83   E_DFT=   20.086113  Re=   -7.434416  Im=-196065.331424
n=84   E_DFT=   21.051088  Re=  -55.981927  Im=466581.599876
n=85   E_DFT=   21.051088  Re=  -57.098772  Im=496948.159806
n=86   E_DFT=   21.767447  Re=  181.320160  Im=-34320.550218
n=87   E_DFT=   21.767447  Re=  180.901368  Im=-35243.118818
n=88   E_DFT=   21.956552  Re= -212.653942  Im=51589.509280
n=89   E_DFT=   21.956552  Re= -210.549449  Im=165931.707398
n=90   E_DFT=   22.406962  Re=  180.774187  Im=-1024311.034951
n=91   E_DFT=   22.406963  Re=  183.932612  Im=-1007183.062560
n=92   E_DFT=   24.302513  Re=  134.561516  Im=1705429.910361
n=93   E_DFT=   24.302513  Re=  125.028943  Im=1619666.122480
n=94   E_DFT=   24.837759  Re=  406.317022  Im=-1825122.604875
n=95   E_DFT=   24.837759  Re=  375.888324  Im=-2045561.540808
n=96   E_DFT=   24.923414  Re=   75.734824  Im=341536.338102
n=97   E_DFT=   24.923415  Re=   42.494759  Im=93479.346269
n=98   E_DFT=   25.307741  Re=  142.492434  Im=-252405.167368
n=99   E_DFT=   25.307741  Re=   65.281675  Im=121194.552607

k-point 2:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.505204  Re=  -46.617536  Im=-12803.074137
n=1    E_DFT=  -65.505204  Re=  -46.823105  Im=-9484.400204
n=2    E_DFT=  -42.186763  Re= -121.646373  Im=-476266.630563
n=3    E_DFT=  -42.186763  Re= -117.263729  Im=2298316.621790
n=4    E_DFT=  -39.675143  Re= -123.257052  Im=-1408972.822430
n=5    E_DFT=  -39.675143  Re= -120.736320  Im=-145387.928833
n=6    E_DFT=  -39.538430  Re= -143.384537  Im=-526889.998256
n=7    E_DFT=  -39.538430  Re= -141.478105  Im=923324.000900
n=8    E_DFT=  -18.072901  Re= -429.628729  Im=-189123.674639
n=9    E_DFT=  -18.072901  Re= -430.125486  Im=-217876.606472
n=10   E_DFT=  -17.618196  Re= -225.570557  Im=-1046479.666989
n=11   E_DFT=  -17.618196  Re= -228.972462  Im=-1059089.845031
n=12   E_DFT=  -10.544596  Re=    8.729023  Im=1218203.862882
n=13   E_DFT=  -10.544596  Re=    3.761716  Im=1209401.818576
n=14   E_DFT=   -9.558853  Re= 1899.147089  Im=2017583.223441
n=15   E_DFT=   -9.558853  Re= 1968.385052  Im=2054350.909625
n=16   E_DFT=   -9.179239  Re= 1825.338894  Im=-3025637.345326
n=17   E_DFT=   -9.179239  Re= 1804.411433  Im=-2945450.470038
n=18   E_DFT=   -8.134605  Re=  297.193888  Im=-121871.909062
n=19   E_DFT=   -8.134605  Re=  358.133703  Im=-95075.208422
n=20   E_DFT=   -7.026314  Re=  531.902900  Im=-2144309.174777
n=21   E_DFT=   -7.026314  Re=  560.694045  Im=-2073429.273321
n=22   E_DFT=   -6.612781  Re= -184.811132  Im=125502.433578
n=23   E_DFT=   -6.612778  Re=  -66.438010  Im=-160690.710628
n=24   E_DFT=   -6.332732  Re= -237.139147  Im=-7747627.048766
n=25   E_DFT=   -6.332729  Re=  -97.283128  Im=-8056517.025346
n=26   E_DFT=   -3.126291  Re= -167.361835  Im=119275.883189
n=27   E_DFT=   -3.126289  Re=   21.449456  Im=875588.525443
n=28   E_DFT=   -2.998806  Re=-2034.627210  Im=4995879.182910
n=29   E_DFT=   -2.998804  Re=-1844.913745  Im=5801665.579217
n=30   E_DFT=   -1.891625  Re= -426.909365  Im=2996883.245138
n=31   E_DFT=   -1.891624  Re= -451.083699  Im=2656143.698586
n=32   E_DFT=   -1.279018  Re= -333.359854  Im=193231.753725
n=33   E_DFT=   -1.279017  Re= -352.534206  Im=-44605.804851
n=34   E_DFT=    2.651931  Re=  -48.312584  Im=2857946.413234
n=35   E_DFT=    2.651931  Re=  -48.395967  Im=2908445.248068
n=36   E_DFT=    2.909043  Re= -790.466063  Im=666342.354553
n=37   E_DFT=    2.909043  Re= -794.984242  Im=635650.482781
n=38   E_DFT=    3.282129  Re=  438.032304  Im=528539.197655
n=39   E_DFT=    3.282130  Re=  419.634404  Im=516717.735654
n=40   E_DFT=    5.167173  Re=-1543.344968  Im=-1865470.906758
n=41   E_DFT=    5.167173  Re=-1532.883769  Im=-1849483.130025
n=42   E_DFT=    5.582657  Re= -601.051480  Im=2486071.722744
n=43   E_DFT=    5.582658  Re= -600.515486  Im=2566148.160476
n=44   E_DFT=    7.149571  Re=  -35.835303  Im=-566591.651947
n=45   E_DFT=    7.149571  Re=  -65.217916  Im=-483973.669356
n=46   E_DFT=    7.620488  Re=   99.306920  Im=232430.505352
n=47   E_DFT=    7.620488  Re=   99.842518  Im=229458.483188
n=48   E_DFT=    7.714046  Re=  -29.914527  Im=-385471.981325
n=49   E_DFT=    7.714046  Re=  -10.288104  Im=-197596.797830
n=50   E_DFT=    9.159372  Re=   59.870042  Im=-27189.579563
n=51   E_DFT=    9.159372  Re=   65.761349  Im=-45425.614912
n=52   E_DFT=    9.701628  Re=  184.444610  Im=1208377.949254
n=53   E_DFT=    9.701629  Re=  202.453733  Im=1199401.172136
n=54   E_DFT=   10.083472  Re=   -8.497661  Im=-291740.319846
n=55   E_DFT=   10.083473  Re=   35.381481  Im=-258411.399413
n=56   E_DFT=   10.160901  Re=  889.468052  Im=50994.183224
n=57   E_DFT=   10.160901  Re=  887.922569  Im=72142.855005
n=58   E_DFT=   12.372283  Re= -163.050185  Im=-5859.668051
n=59   E_DFT=   12.372283  Re= -168.675588  Im=-68253.567078
n=60   E_DFT=   13.551374  Re= -241.260848  Im=-318187.965723
n=61   E_DFT=   13.551374  Re= -239.771155  Im=-343646.694921
n=62   E_DFT=   13.877359  Re=  -96.896892  Im=-130686.916866
n=63   E_DFT=   13.877359  Re= -100.757611  Im=-108546.527214
n=64   E_DFT=   14.834141  Re= -220.996467  Im=-605922.497850
n=65   E_DFT=   14.834141  Re= -214.517322  Im=-554966.166460
n=66   E_DFT=   15.592301  Re= -682.871087  Im=388533.319361
n=67   E_DFT=   15.592301  Re= -680.192555  Im=398106.746011
n=68   E_DFT=   16.262755  Re=   49.600475  Im=-953915.058288
n=69   E_DFT=   16.262755  Re=   32.748150  Im=-919988.528939
n=70   E_DFT=   17.047681  Re=  318.833453  Im=-498930.244149
n=71   E_DFT=   17.047682  Re=  325.122979  Im=-564424.399234
n=72   E_DFT=   17.205227  Re=   31.971199  Im=-944976.282316
n=73   E_DFT=   17.205227  Re=   31.813206  Im=-940148.435101
n=74   E_DFT=   17.670259  Re=  419.948486  Im=-108354.894256
n=75   E_DFT=   17.670259  Re=  422.041673  Im=-117789.495753
n=76   E_DFT=   19.471029  Re=  -97.874039  Im=494695.069022
n=77   E_DFT=   19.471030  Re=  -94.264394  Im=551939.489991
n=78   E_DFT=   19.564073  Re=  207.550463  Im=-163651.938312
n=79   E_DFT=   19.564073  Re=  206.698352  Im=-159818.536717
n=80   E_DFT=   19.767089  Re=   17.514719  Im=75192.290738
n=81   E_DFT=   19.767089  Re=   17.572410  Im=76149.704575
n=82   E_DFT=   20.779962  Re=  -90.414114  Im=-514192.658648
n=83   E_DFT=   20.779962  Re=  -86.601881  Im=-524414.888970
n=84   E_DFT=   21.104210  Re=   75.676174  Im=125502.989996
n=85   E_DFT=   21.104212  Re=  188.715830  Im=35826.447398
n=86   E_DFT=   21.222135  Re=  551.347315  Im=-110207.423929
n=87   E_DFT=   21.222137  Re=  620.619899  Im=-149516.449608
n=88   E_DFT=   22.748407  Re=  -39.102034  Im=-592885.493129
n=89   E_DFT=   22.748408  Re=  -74.440128  Im=-589903.424219
n=90   E_DFT=   22.758950  Re=  -80.778323  Im=-1177516.016172
n=91   E_DFT=   22.758951  Re= -154.954248  Im=-1383174.156409
n=92   E_DFT=   22.917923  Re=   64.767614  Im=148800.930619
n=93   E_DFT=   22.917926  Re=  -35.052521  Im=-84160.481230
n=94   E_DFT=   22.949453  Re=   68.733209  Im=195382.373146
n=95   E_DFT=   22.949453  Re=   67.122172  Im=204344.713363
n=96   E_DFT=   24.063734  Re=  788.811102  Im=1203759.399167
n=97   E_DFT=   24.063736  Re=  804.597557  Im=1198283.052453
n=98   E_DFT=   24.084717  Re=  190.383711  Im=719513.810238
n=99   E_DFT=   24.084718  Re=  199.487717  Im=727853.424665

k-point 3:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.500819  Re= -156.289374  Im=-128162.809113
n=1    E_DFT=  -65.500819  Re= -156.899046  Im=128162.609620
n=2    E_DFT=  -42.217310  Re=  -19.481632  Im= 1116.654956
n=3    E_DFT=  -42.217310  Re=  -22.233813  Im=1966348.615299
n=4    E_DFT=  -39.734211  Re=  -20.729863  Im=-4407273.651849
n=5    E_DFT=  -39.734211  Re=  -19.743225  Im=2299994.371716
n=6    E_DFT=  -39.546668  Re=  -15.275339  Im=-4585965.254437
n=7    E_DFT=  -39.546668  Re=  -20.716923  Im=4819200.120478
n=8    E_DFT=  -17.504561  Re=  -24.659660  Im= 2648.784492
n=9    E_DFT=  -17.504561  Re=  -22.897633  Im=-2385.396876
n=10   E_DFT=  -17.384382  Re=  -13.510905  Im= 5287.466502
n=11   E_DFT=  -17.384382  Re=  -24.804395  Im=-8239.371907
n=12   E_DFT=  -11.087343  Re=  -13.668788  Im= 3714.967950
n=13   E_DFT=  -11.087343  Re=  -12.799821  Im=-1303.097830
n=14   E_DFT=  -10.190433  Re=    3.427442  Im=-61953.792098
n=15   E_DFT=  -10.190433  Re=  -26.618807  Im=46049.382740
n=16   E_DFT=   -9.410898  Re=  -27.489186  Im=126598.775623
n=17   E_DFT=   -9.410898  Re=  -17.233075  Im=-132426.202203
n=18   E_DFT=   -8.452993  Re=   -4.636992  Im=-93093.852009
n=19   E_DFT=   -8.452993  Re=   -8.774357  Im=82497.639476
n=20   E_DFT=   -7.297424  Re=   -7.089718  Im=79020.400924
n=21   E_DFT=   -7.297424  Re=   -7.516593  Im=-75029.390893
n=22   E_DFT=   -6.243181  Re=   -9.830041  Im=108992.649875
n=23   E_DFT=   -6.243181  Re=  -11.347535  Im=-139204.824748
n=24   E_DFT=   -5.976810  Re=  -38.853805  Im=51216.684033
n=25   E_DFT=   -5.976810  Re=  -32.845105  Im=-17358.319134
n=26   E_DFT=   -3.055309  Re=   -1.333559  Im=71574.907002
n=27   E_DFT=   -3.055309  Re=   -1.102570  Im=23645.919302
n=28   E_DFT=   -2.541875  Re=   73.932835  Im=37615.876112
n=29   E_DFT=   -2.541875  Re=   99.177820  Im=-128248.294468
n=30   E_DFT=   -1.458358  Re=   10.464605  Im=593350.769464
n=31   E_DFT=   -1.458358  Re=   -4.730910  Im=-616682.168081
n=32   E_DFT=   -1.066726  Re=    7.420640  Im=-89816.891782
n=33   E_DFT=   -1.066726  Re=   13.560238  Im=105510.934643
n=34   E_DFT=    1.125877  Re=   16.174081  Im=-77269.010372
n=35   E_DFT=    1.125877  Re=   10.724914  Im=77949.800690
n=36   E_DFT=    2.577522  Re=    1.920151  Im=-374008.323548
n=37   E_DFT=    2.577522  Re=   13.611765  Im=371103.866547
n=38   E_DFT=    3.216076  Re=   34.165966  Im=-19807.157259
n=39   E_DFT=    3.216076  Re=    9.636161  Im=17434.552267
n=40   E_DFT=    4.435330  Re=    2.859112  Im=559948.321847
n=41   E_DFT=    4.435330  Re=    3.045723  Im=-559771.087093
n=42   E_DFT=    4.984520  Re=    1.009633  Im=-250386.797378
n=43   E_DFT=    4.984520  Re=    1.073464  Im=254176.243973
n=44   E_DFT=    6.011775  Re=    5.746165  Im=53067.504780
n=45   E_DFT=    6.011775  Re=    6.142684  Im=-54787.976749
n=46   E_DFT=    8.328524  Re=   26.460455  Im=  853.488412
n=47   E_DFT=    8.328524  Re=   15.531712  Im= -534.561764
n=48   E_DFT=    9.001866  Re=   11.343620  Im=-8172.510085
n=49   E_DFT=    9.001866  Re=   10.888995  Im= 7873.787086
n=50   E_DFT=   10.392904  Re=   27.880592  Im=-178420.580337
n=51   E_DFT=   10.392904  Re=   26.932913  Im=178342.481877
n=52   E_DFT=   10.404016  Re=   21.851104  Im=328054.067615
n=53   E_DFT=   10.404016  Re=   20.665565  Im=-327525.209218
n=54   E_DFT=   11.851113  Re=   29.973376  Im=-24347.989244
n=55   E_DFT=   11.851113  Re=   39.778563  Im=23703.795947
n=56   E_DFT=   12.074724  Re=   16.020475  Im=-15285.976697
n=57   E_DFT=   12.074724  Re=   17.099840  Im=15488.580662
n=58   E_DFT=   12.784646  Re=   18.997047  Im= 2671.178767
n=59   E_DFT=   12.784646  Re=   18.723753  Im=-2534.816730
n=60   E_DFT=   13.416472  Re=   55.551491  Im=-20698.371000
n=61   E_DFT=   13.416472  Re=   46.307663  Im=20081.048770
n=62   E_DFT=   14.106289  Re=   56.425708  Im= 1431.498961
n=63   E_DFT=   14.106289  Re=   56.500644  Im=-1139.373635
n=64   E_DFT=   14.592480  Re=   32.847254  Im=-73189.053572
n=65   E_DFT=   14.592480  Re=   33.573979  Im=73171.026147
n=66   E_DFT=   15.006387  Re=   57.341453  Im=182361.964012
n=67   E_DFT=   15.006387  Re=   57.255975  Im=-180636.248766
n=68   E_DFT=   15.654729  Re=   23.395292  Im=33370.830499
n=69   E_DFT=   15.654729  Re=   23.760568  Im=-34967.081122
n=70   E_DFT=   16.398697  Re=   56.658186  Im=48840.285751
n=71   E_DFT=   16.398697  Re=   53.725809  Im=-67339.965542
n=72   E_DFT=   16.419681  Re=   57.174869  Im= 4646.364090
n=73   E_DFT=   16.419681  Re=   54.210178  Im=14634.033944
n=74   E_DFT=   18.887447  Re=   80.317908  Im=37783.588462
n=75   E_DFT=   18.887447  Re=   75.239351  Im=-20342.025261
n=76   E_DFT=   18.937882  Re=   24.062666  Im=12720.476703
n=77   E_DFT=   18.937882  Re=   22.828678  Im=-27892.999927
n=78   E_DFT=   19.532495  Re=  300.096625  Im=-5529.176129
n=79   E_DFT=   19.532495  Re=  298.102245  Im= 5425.022717
n=80   E_DFT=   19.790940  Re=   34.456979  Im= 4138.684511
n=81   E_DFT=   19.790940  Re=   30.985805  Im=-4537.976620
n=82   E_DFT=   19.854083  Re=  286.510640  Im=-322303.071417
n=83   E_DFT=   19.854083  Re=  281.507974  Im=322422.370989
n=84   E_DFT=   20.240131  Re=   40.004898  Im= -856.101913
n=85   E_DFT=   20.240131  Re=   39.212819  Im=  822.957661
n=86   E_DFT=   20.890365  Re=  237.017651  Im= 9286.844423
n=87   E_DFT=   20.890365  Re=  237.074579  Im=-8930.598836
n=88   E_DFT=   21.657673  Re=  193.332705  Im=-7745.277459
n=89   E_DFT=   21.657673  Re=  192.455205  Im= 7736.837605
