# Generated by LORRAX unknown at 2026-07-21 06:31:56 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=1   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=91  sigX=   -1.793432              sigC=  -15.108082+ 30.980074i  sigXC=  -16.901514+ 30.980074i  VH=  159.042282+  0.000834i  Eo=   22.988316
n=92  sigX=   -1.570743              sigC=   -2.311973+3177.835871i  sigXC=   -3.882715+3177.835871i  VH=   93.032683+ -0.000197i  Eo=   23.435678
n=93  sigX=   -1.570743              sigC=   -2.311973+3177.835871i  sigXC=   -3.882715+3177.835871i  VH=   93.032683+ -0.000197i  Eo=   23.435678
n=94  sigX=   -1.569141              sigC=   -2.311453+-3032.840575i  sigXC=   -3.880593+-3032.840575i  VH=   92.694380+ -0.000188i  Eo=   23.447355
n=95  sigX=   -1.569141              sigC=   -2.311453+-3032.840575i  sigXC=   -3.880593+-3032.840575i  VH=   92.694380+ -0.000188i  Eo=   23.447355
n=96  sigX=   -2.552649              sigC=    1.567648+5757.081547i  sigXC=   -0.985002+5757.081547i  VH=  241.860539+  0.000222i  Eo=   24.078748
n=97  sigX=   -2.552649              sigC=    1.567648+5757.081547i  sigXC=   -0.985002+5757.081547i  VH=  241.860539+  0.000222i  Eo=   24.078748
n=98  sigX=   -1.729296              sigC=  -20.700109+108.951012i  sigXC=  -22.429405+108.951012i  VH=  154.155952+  0.000444i  Eo=   24.087456
n=99  sigX=   -1.729296              sigC=  -20.700109+108.951012i  sigXC=  -22.429405+108.951012i  VH=  154.155952+  0.000444i  Eo=   24.087456

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.549432              sigC=   27.165598+4882.834773i  sigXC=  -12.383835+4882.834773i  VH=  591.974008+  0.000001i  Eo=  -65.465980
n=1   sigX=  -39.549432              sigC=   27.165598+4882.834773i  sigXC=  -12.383835+4882.834773i  VH=  591.974008+  0.000001i  Eo=  -65.465980
n=2   sigX=  -33.308458              sigC=  -52.914330+711391.025150i  sigXC=  -86.222788+711391.025150i  VH=  584.279088+ -0.000003i  Eo=  -42.126171
n=3   sigX=  -33.308458              sigC=  -52.914330+711391.025150i  sigXC=  -86.222788+711391.025150i  VH=  584.279088+ -0.000003i  Eo=  -42.126171
n=4   sigX=  -32.526774              sigC= -136.591984+-715815.130134i  sigXC= -169.118758+-715815.130134i  VH=  577.678940+ -0.000325i  Eo=  -39.593526
n=5   sigX=  -32.526774              sigC= -136.591984+-715815.130134i  sigXC= -169.118758+-715815.130134i  VH=  577.678940+ -0.000325i  Eo=  -39.593526
n=6   sigX=  -32.517546              sigC=   10.210264+264884.681508i  sigXC=  -22.307282+264884.681508i  VH=  586.866954+  0.000069i  Eo=  -39.464894
n=7   sigX=  -32.517546              sigC=   10.210264+264884.681508i  sigXC=  -22.307282+264884.681508i  VH=  586.866954+  0.000069i  Eo=  -39.464893
n=8   sigX=  -21.673920              sigC= -221.479007+-183015.750435i  sigXC= -243.152927+-183015.750435i  VH=  381.283687+  0.000519i  Eo=  -18.989633
n=9   sigX=  -21.673920              sigC= -221.479007+-183015.750435i  sigXC= -243.152927+-183015.750435i  VH=  381.283687+  0.000519i  Eo=  -18.989633
n=10  sigX=  -21.614486              sigC=  605.075792+-572073.158163i  sigXC=  583.461306+-572073.158163i  VH=  354.837005+ -0.000155i  Eo=  -18.014213
n=11  sigX=  -21.614486              sigC=  605.075792+-572073.158163i  sigXC=  583.461306+-572073.158163i  VH=  354.837005+ -0.000155i  Eo=  -18.014213
n=12  sigX=  -17.306083              sigC= 1128.732079+-41822.171501i  sigXC= 1111.425996+-41822.171501i  VH=  393.400018+ -0.000006i  Eo=  -10.482477
n=13  sigX=  -17.306083              sigC= 1128.732079+-41822.171501i  sigXC= 1111.425996+-41822.171501i  VH=  393.400018+ -0.000006i  Eo=  -10.482477
n=14  sigX=  -17.495356              sigC= -497.252103+-2406180.854790i  sigXC= -514.747459+-2406180.854790i  VH=  461.738442+  0.000067i  Eo=   -8.606804
n=15  sigX=  -17.495356              sigC= -497.252103+-2406180.854790i  sigXC= -514.747459+-2406180.854790i  VH=  461.738442+  0.000067i  Eo=   -8.606804
n=16  sigX=  -17.098558              sigC= -644.790913+-367341.484529i  sigXC= -661.889471+-367341.484529i  VH=  394.583277+  0.000283i  Eo=   -8.256218
n=17  sigX=  -17.098558              sigC= -644.790913+-367341.484529i  sigXC= -661.889471+-367341.484529i  VH=  394.583277+  0.000283i  Eo=   -8.256218
n=18  sigX=  -17.834097              sigC= -106.718104+153608.026717i  sigXC= -124.552201+153608.026717i  VH=  477.854941+  0.000223i  Eo=   -7.436881
n=19  sigX=  -17.834097              sigC= -106.718104+153608.026717i  sigXC= -124.552201+153608.026717i  VH=  477.854941+  0.000223i  Eo=   -7.436880
n=20  sigX=  -17.690235              sigC=  348.224268+-89257.648094i  sigXC=  330.534033+-89257.648094i  VH=  452.620188+ -0.000266i  Eo=   -7.317414
n=21  sigX=  -17.690235              sigC=  348.224268+-89257.648094i  sigXC=  330.534033+-89257.648094i  VH=  452.620188+ -0.000266i  Eo=   -7.317414
n=22  sigX=  -15.979111              sigC= -214.901636+1381800.734104i  sigXC= -230.880747+1381800.734104i  VH=  330.901527+ -0.000070i  Eo=   -6.409757
n=23  sigX=  -15.979111              sigC= -214.901636+1381800.734104i  sigXC= -230.880747+1381800.734104i  VH=  330.901527+ -0.000070i  Eo=   -6.409757
