# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=61   E_DFT=   12.579023  Re=  110.424287  Im=-181809.998893
n=62   E_DFT=   13.626951  Re=   47.150012  Im=-147956.414152
n=63   E_DFT=   13.626951  Re=   47.145124  Im=-135977.786947
n=64   E_DFT=   15.232396  Re=  166.181524  Im=220828.772816
n=65   E_DFT=   15.232396  Re=  166.187309  Im=219326.966496
n=66   E_DFT=   15.261278  Re=  138.021413  Im=371605.348944
n=67   E_DFT=   15.261279  Re=  138.369437  Im=417853.780126
n=68   E_DFT=   16.200358  Re=  186.478632  Im=-759665.708608
n=69   E_DFT=   16.200358  Re=  186.495049  Im=-756349.385186
n=70   E_DFT=   16.815710  Re=   34.170578  Im=-488366.985382
n=71   E_DFT=   16.815710  Re=   33.602084  Im=-471412.711420
n=72   E_DFT=   17.301584  Re=   44.512592  Im=588755.568813
n=73   E_DFT=   17.301584  Re=   44.586396  Im=570472.755318
n=74   E_DFT=   17.627891  Re=   39.490660  Im=1370539.911659
n=75   E_DFT=   17.627893  Re=   38.599348  Im=1122608.448865
n=76   E_DFT=   18.613617  Re=   72.375358  Im=1441174.881505
n=77   E_DFT=   18.613619  Re=   70.282228  Im=932287.631001
n=78   E_DFT=   18.800907  Re=   22.504886  Im=-709196.105387
n=79   E_DFT=   18.800907  Re=   25.466172  Im=-527793.425460
n=80   E_DFT=   19.943885  Re=   30.636586  Im=238361.222575
n=81   E_DFT=   19.943885  Re=   30.951939  Im=16372.029675
n=82   E_DFT=   20.086113  Re=   38.420745  Im=1576562.769809
n=83   E_DFT=   20.086113  Re=   38.407262  Im=1580738.316112
n=84   E_DFT=   21.051088  Re=   55.521626  Im=559390.732693
n=85   E_DFT=   21.051088  Re=   55.401585  Im=540085.343469
n=86   E_DFT=   21.767447  Re=  237.903396  Im=-229769.798326
n=87   E_DFT=   21.767447  Re=  237.891234  Im=-226768.753624
n=88   E_DFT=   21.956552  Re=   70.970410  Im=739981.558550
n=89   E_DFT=   21.956552  Re=   70.897473  Im=616608.497000
n=90   E_DFT=   22.406962  Re=  113.578087  Im=64603.036754
n=91   E_DFT=   22.406963  Re=  113.548028  Im=-24381.367833
n=92   E_DFT=   24.302513  Re=   73.039492  Im=1325247.791755
n=93   E_DFT=   24.302513  Re=   73.336928  Im=1295992.339100
n=94   E_DFT=   24.837759  Re=   60.663217  Im=1774162.887241
n=95   E_DFT=   24.837759  Re=   60.395117  Im=1671984.493477
n=96   E_DFT=   24.923414  Re=   54.777723  Im=-1336179.412741
n=97   E_DFT=   24.923415  Re=   54.966161  Im=-1412205.375893
n=98   E_DFT=   25.307741  Re=   57.609325  Im=1316856.455449
n=99   E_DFT=   25.307741  Re=   57.926782  Im=1030404.473611

k-point 2:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.505204  Re= -138.977357  Im=-125390.314541
n=1    E_DFT=  -65.505204  Re= -138.058158  Im=-118334.965148
n=2    E_DFT=  -42.186763  Re=  -74.472894  Im=-1513491.175875
n=3    E_DFT=  -42.186763  Re=  -64.271225  Im=237555.323233
n=4    E_DFT=  -39.675143  Re=  -67.837987  Im=170159.796532
n=5    E_DFT=  -39.675143  Re=  -61.172375  Im=769475.180738
n=6    E_DFT=  -39.538430  Re=  -70.457150  Im=-547932.814662
n=7    E_DFT=  -39.538430  Re=  -65.388857  Im=421547.653305
n=8    E_DFT=  -18.072901  Re=  -21.896755  Im=-109092.343808
n=9    E_DFT=  -18.072901  Re=  -21.900850  Im=-81203.843696
n=10   E_DFT=  -17.618196  Re=  -22.145949  Im=973918.602610
n=11   E_DFT=  -17.618196  Re=  -22.055966  Im=948937.183617
n=12   E_DFT=  -10.544596  Re=  -12.105877  Im=-327046.252527
n=13   E_DFT=  -10.544596  Re=  -12.114325  Im=-333075.233470
n=14   E_DFT=   -9.558853  Re=  -10.591824  Im=-473222.080711
n=15   E_DFT=   -9.558853  Re=  -10.459714  Im=-399027.215371
n=16   E_DFT=   -9.179239  Re=  -11.329756  Im=551853.467159
n=17   E_DFT=   -9.179239  Re=  -11.294976  Im=545267.246415
n=18   E_DFT=   -8.134605  Re=   -1.991412  Im=-59375.657809
n=19   E_DFT=   -8.134605  Re=   -1.791979  Im=-274964.710569
n=20   E_DFT=   -7.026314  Re=  -10.611151  Im=256635.045679
n=21   E_DFT=   -7.026314  Re=  -10.653619  Im=159582.511665
