# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07749573E+01  -9.98493610E+00   7.90021158E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08944670E+00   1.05842719E+00  -3.10195076E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     37  -7.97409252E+00  -7.41717755E+00   5.56914968E-01
     38  -8.02807362E+00  -7.47730464E+00   5.50768982E-01
     39  -8.07292248E+00  -7.53820686E+00   5.34715615E-01
     40  -8.12521803E+00  -7.59305449E+00   5.32163537E-01
     41  -8.15189220E+00  -7.64640487E+00   5.05487322E-01
     42  -8.17199418E+00  -7.69124381E+00   4.80750369E-01
     43  -8.21821074E+00  -7.74502492E+00   4.73185816E-01
     44  -8.25805662E+00  -7.79027830E+00   4.67778329E-01
     45  -8.31969709E+00  -7.83834910E+00   4.81347986E-01
     46  -8.37577448E+00  -7.87874864E+00   4.97025839E-01
     47  -8.42879510E+00  -7.91875977E+00   5.10035323E-01
     48  -8.48692355E+00  -7.97511130E+00   5.11812251E-01
     49  -8.54470145E+00  -8.01437694E+00   5.30324514E-01
     50  -8.61722917E+00  -8.05856744E+00   5.58661731E-01
     51  -8.66602304E+00  -8.08797970E+00   5.78043342E-01
     52  -8.69763711E+00  -8.11510732E+00   5.82529786E-01
     53  -8.73799543E+00  -8.14394525E+00   5.94050180E-01
     54  -8.77783381E+00  -8.17228432E+00   6.05549493E-01
     55  -8.79271640E+00  -8.19411102E+00   5.98605379E-01
     56  -8.80816510E+00  -8.21708318E+00   5.91081922E-01
     57  -8.82891848E+00  -8.24084247E+00   5.88076007E-01
     58  -8.85231288E+00  -8.26473524E+00   5.87577639E-01
     59  -8.87408036E+00  -8.28616683E+00   5.87913531E-01
     60  -8.89816949E+00  -8.30771786E+00   5.90451636E-01
     61  -8.91290223E+00  -8.32402529E+00   5.88876938E-01
     62  -8.93033089E+00  -8.34960737E+00   5.80723516E-01
     63  -8.95043976E+00  -8.38162513E+00   5.68814629E-01
     64  -8.97001197E+00  -8.41183166E+00   5.58180313E-01
     65  -8.98688865E+00  -8.43054879E+00   5.56339864E-01
     66  -9.00409475E+00  -8.44788957E+00   5.56205179E-01
     67  -9.02343213E+00  -8.46692027E+00   5.56511859E-01
     68  -9.04095319E+00  -8.49402103E+00   5.46932163E-01
     69  -9.05674393E+00  -8.50684988E+00   5.49894050E-01
     70  -9.07577776E+00  -8.52557692E+00   5.50200835E-01
     71  -9.09500535E+00  -8.54219783E+00   5.52807529E-01
     72  -9.11059581E+00  -8.55300633E+00   5.57589480E-01
     73  -9.12761887E+00  -8.57075216E+00   5.56866701E-01
     74  -9.14032804E+00  -8.59448112E+00   5.45846921E-01
     75  -9.16142920E+00  -8.61233068E+00   5.49098518E-01
     76  -9.17994720E+00  -8.63355528E+00   5.46391920E-01
     77  -9.19570549E+00  -8.64804122E+00   5.47664273E-01
     78  -9.21154027E+00  -8.66285938E+00   5.48680888E-01
     79  -9.22500479E+00  -8.67921874E+00   5.45786054E-01
     80  -9.23844384E+00  -8.69519793E+00   5.43245910E-01
     81  -9.25645066E+00  -8.71281940E+00   5.43631258E-01
     82  -9.27426086E+00  -8.73055767E+00   5.43703193E-01
     83  -9.29324526E+00  -8.74479755E+00   5.48447708E-01
     84  -9.31198256E+00  -8.75913253E+00   5.52850036E-01
     85  -9.32724860E+00  -8.77215165E+00   5.55096946E-01
     86  -9.34259510E+00  -8.78524032E+00   5.57354783E-01
     87  -9.35840127E+00  -8.79776428E+00   5.60636993E-01
     88  -9.37470232E+00  -8.80653146E+00   5.68170865E-01
