# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 332

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
   59.82          0.00 B      102      469.29 MiB
   60.07          0.00 B      102      469.29 MiB
   60.33          0.00 B      102      469.29 MiB
   60.58          0.00 B       98      469.29 MiB
   60.83          0.00 B      101      469.29 MiB
   61.08          0.00 B      101      469.29 MiB
   61.33          0.00 B      101      469.29 MiB
   61.58          0.00 B      101      469.29 MiB
   61.83          0.00 B      101      469.29 MiB
   62.08          0.00 B      101      469.29 MiB
   62.33          0.00 B      101      469.29 MiB
   62.60          0.00 B      100      649.83 MiB
   62.85          0.00 B      101      469.29 MiB
   63.10          0.00 B      102      469.32 MiB
   63.35          0.00 B      103      469.32 MiB
   63.60          0.00 B       87      118.03 MiB
   63.85          0.00 B       86      118.03 MiB
   64.10          0.00 B       86      118.03 MiB
   64.35          0.00 B       90      174.64 MiB
   64.60          0.00 B       91      193.81 MiB
   64.85          0.00 B       92      193.84 MiB
   65.10          0.00 B       90      193.81 MiB
   65.36          0.00 B       90      174.37 MiB
   65.61          0.00 B       87      177.13 MiB
   65.86          0.00 B       92      197.17 MiB
   66.11          0.00 B       89      177.13 MiB
   66.36          0.00 B       92      177.49 MiB
   66.61          0.00 B       89      177.13 MiB
   66.86          0.00 B       87      177.13 MiB
   67.11          0.00 B       89      177.13 MiB
   67.36          0.00 B       86      118.03 MiB
   67.61          0.00 B       93      216.82 MiB
   67.86          0.00 B       89      177.13 MiB
   68.12          0.00 B       87      177.13 MiB
   68.37          0.00 B       89      177.13 MiB
   68.62          0.00 B       86      118.03 MiB
   68.87          0.00 B       94      216.79 MiB
   69.12          0.00 B       89      177.13 MiB
   69.37          0.00 B       89      174.28 MiB
   69.62          0.00 B       90      180.62 MiB
   69.87          0.00 B       89      174.31 MiB
   70.13          0.00 B       91      174.31 MiB
   70.38          0.00 B       90      174.31 MiB
   70.63          0.00 B       92      230.56 MiB
   70.88          0.00 B       96      287.53 MiB
   71.13          0.00 B      101      345.20 MiB
   71.38          0.00 B      100      345.20 MiB
   71.63          0.00 B      102      359.26 MiB
   71.88          0.00 B       96      288.21 MiB
   72.14          0.00 B      101      288.22 MiB
   72.39          0.00 B      104      325.48 MiB
   72.64          0.00 B      109      344.47 MiB
   72.89          0.00 B      101      288.22 MiB
   73.14          0.00 B       96      344.46 MiB
   73.39          0.00 B       97      344.46 MiB
   73.64          0.00 B       98      344.46 MiB
   73.89          0.00 B       96      344.46 MiB
   74.14          0.00 B      100      347.54 MiB
   74.40          0.00 B      103      347.54 MiB
   74.65          0.00 B      101      347.54 MiB
   74.90          0.00 B      105      347.54 MiB
   75.15          0.00 B      108      347.54 MiB
   75.40          0.00 B      106      347.54 MiB
   75.66          0.00 B      106      347.54 MiB
   75.91          0.00 B      108      359.54 MiB
   76.16          0.00 B      113      371.54 MiB
   76.41          0.00 B      114      407.54 MiB
   76.66          0.00 B      117      415.54 MiB
   76.91          0.00 B      118      415.54 MiB
   77.16          0.00 B      119      417.54 MiB
   77.41          0.00 B      124      411.54 MiB
   77.67          0.00 B      126      411.54 MiB
   77.92          0.00 B      128      419.54 MiB
   78.17          0.00 B      132      415.54 MiB
   78.42          0.00 B      138      415.54 MiB
   78.67          0.00 B      103      345.34 MiB
   78.95          0.00 B      105      345.35 MiB
   79.20          0.00 B      107      345.35 MiB
   79.46          0.00 B      108      346.23 MiB
   79.71          0.00 B      108      346.23 MiB
   79.96          0.00 B      109      347.10 MiB
   80.22          0.00 B      110      347.98 MiB
   80.47          0.00 B      110      347.98 MiB
