# Generated by LORRAX unknown at 2026-07-21 19:39:55 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=74  sigX=   -3.178057              sigC=   -3.604901+ -0.000035i  sigXC=   -6.782958+ -0.000035i  VH=  282.184554  Eo=   18.238654
n=75  sigX=   -3.178057              sigC=   -3.604901+ -0.000035i  sigXC=   -6.782958+ -0.000035i  VH=  282.184554  Eo=   18.238654
n=76  sigX=   -2.261088              sigC=   -2.856190+ -0.000002i  sigXC=   -5.117278+ -0.000002i  VH=  121.084205  Eo=   20.596833
n=77  sigX=   -2.261088              sigC=   -2.856190+ -0.000002i  sigXC=   -5.117278+ -0.000002i  VH=  121.084205  Eo=   20.596833
n=78  sigX=   -1.989428              sigC=   -2.866200+ -0.000022i  sigXC=   -4.855628+ -0.000022i  VH=  147.377808  Eo=   20.823270
n=79  sigX=   -1.989428              sigC=   -2.866200+ -0.000022i  sigXC=   -4.855628+ -0.000022i  VH=  147.377808  Eo=   20.823270
n=80  sigX=   -1.987701              sigC=   -2.862860+  0.000023i  sigXC=   -4.850561+  0.000023i  VH=  146.932423  Eo=   20.838623
n=81  sigX=   -1.987701              sigC=   -2.862860+  0.000023i  sigXC=   -4.850561+  0.000023i  VH=  146.932423  Eo=   20.838623
n=82  sigX=   -1.124686              sigC=   -2.032677+  0.000001i  sigXC=   -3.157363+  0.000001i  VH=  -71.357368+ -0.000000i  Eo=   21.148651
n=83  sigX=   -1.124686              sigC=   -2.032677+  0.000001i  sigXC=   -3.157363+  0.000001i  VH=  -71.357368+ -0.000000i  Eo=   21.148651
n=84  sigX=   -1.614665              sigC=   -2.540882+ -0.000002i  sigXC=   -4.155547+ -0.000002i  VH=   83.084118  Eo=   21.801451
n=85  sigX=   -1.614665              sigC=   -2.540882+ -0.000002i  sigXC=   -4.155547+ -0.000002i  VH=   83.084118  Eo=   21.801451
n=86  sigX=   -3.068898              sigC=   -3.204948+ -0.000001i  sigXC=   -6.273846+ -0.000001i  VH=  238.495082  Eo=   22.264416
n=87  sigX=   -3.068898              sigC=   -3.204948+ -0.000001i  sigXC=   -6.273846+ -0.000001i  VH=  238.495082  Eo=   22.264416
