# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.78111523E+00  -9.18367045E+00   5.97444781E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.15543037E+00   1.22023060E+00   6.48002333E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     42  -8.04081307E+00  -7.55347332E+00   4.87339747E-01
     43  -8.08410978E+00  -7.59416457E+00   4.89945214E-01
     44  -8.12740701E+00  -7.63485430E+00   4.92552717E-01
     45  -8.16342004E+00  -7.67317276E+00   4.90247278E-01
     46  -8.19943261E+00  -7.71149650E+00   4.87936112E-01
     47  -8.22643671E+00  -7.74269266E+00   4.83744049E-01
     48  -8.25344149E+00  -7.77388034E+00   4.79561148E-01
     49  -8.29642827E+00  -7.80831584E+00   4.88112425E-01
     50  -8.33941603E+00  -7.84275138E+00   4.96664657E-01
     51  -8.37203863E+00  -7.86987837E+00   5.02160256E-01
     52  -8.40466363E+00  -7.89700519E+00   5.07658437E-01
     53  -8.43567567E+00  -7.92544161E+00   5.10234064E-01
     54  -8.46669491E+00  -7.95388326E+00   5.12811651E-01
     55  -8.48815582E+00  -7.98139576E+00   5.06760060E-01
     56  -8.50961049E+00  -8.00889582E+00   5.00714676E-01
     57  -8.53013776E+00  -8.03063652E+00   4.99501240E-01
     58  -8.55065647E+00  -8.05236213E+00   4.98294337E-01
     59  -8.57068562E+00  -8.07252632E+00   4.98159303E-01
     60  -8.59071353E+00  -8.09268816E+00   4.98025371E-01
# k =   0.000000   0.250000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.70464763E+00  -9.34708475E+00   3.57562886E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.11403083E+00   1.25443240E+00   1.40401561E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.53851480E-01  -2.17759789E-01   3.60916917E-02
      2  -5.07704207E-01  -4.35524307E-01   7.21798993E-02
      3  -9.21983966E-01  -7.34649201E-01   1.87334766E-01
      4  -1.33626663E+00  -1.03377994E+00   3.02486688E-01
      5  -1.68583892E+00  -1.24210150E+00   4.43737425E-01
      6  -2.03516402E+00  -1.45040987E+00   5.84754154E-01
      7  -3.26745455E+00  -1.58019763E+00   1.68725692E+00
      8  -4.49934910E+00  -1.70998382E+00   2.78936528E+00
      9  -4.62406700E+00  -2.69489930E+00   1.92916770E+00
     10  -4.74878673E+00  -3.67980947E+00   1.06897725E+00
     11  -4.92482123E+00  -3.88052815E+00   1.04429308E+00
     12  -5.10085728E+00  -4.08123320E+00   1.01962408E+00
     13  -5.32259620E+00  -4.42962285E+00   8.92973346E-01
     14  -5.54532729E+00  -4.77799367E+00   7.67333624E-01
     15  -5.73325985E+00  -5.06013974E+00   6.73120112E-01
     16  -5.92069666E+00  -5.34229020E+00   5.78406456E-01
     17  -6.07164772E+00  -5.49047988E+00   5.81167842E-01
     18  -6.22280671E+00  -5.63864930E+00   5.84157405E-01
     19  -6.37269082E+00  -5.73983283E+00   6.32857996E-01
     20  -6.52265389E+00  -5.84101660E+00   6.81637290E-01
     21  -6.61881796E+00  -5.97616494E+00   6.42653015E-01
     22  -6.71498196E+00  -6.11131546E+00   6.03666503E-01
     23  -6.83735727E+00  -6.23273712E+00   6.04620148E-01
     24  -6.95973257E+00  -6.35416343E+00   6.05569141E-01
     25  -7.03182420E+00  -6.45939756E+00   5.72426641E-01
     26  -7.10391279E+00  -6.56462288E+00   5.39289912E-01
     27  -7.17319773E+00  -6.65426825E+00   5.18929477E-01
     28  -7.24248612E+00  -6.74392347E+00   4.98562654E-01
     29  -7.30514605E+00  -6.80852084E+00   4.96625206E-01
     30  -7.36780605E+00  -6.87311908E+00   4.94686965E-01
     31  -7.44667177E+00  -6.94610729E+00   5.00564478E-01
     32  -7.52553735E+00  -7.01909474E+00   5.06442608E-01
     33  -7.59033249E+00  -7.07845322E+00   5.11879276E-01
     34  -7.65512428E+00  -7.13781059E+00   5.17313694E-01
     35  -7.70830541E+00  -7.19870982E+00   5.09595588E-01
     36  -7.76149260E+00  -7.25960771E+00   5.01884889E-01
     37  -7.81132349E+00  -7.31162498E+00   4.99698511E-01
     38  -7.86118199E+00  -7.36364075E+00   4.97541235E-01
     39  -7.91386180E+00  -7.41284903E+00   5.01012777E-01
     40  -7.96655559E+00  -7.46205570E+00   5.04499897E-01
     41  -8.00348626E+00  -7.50756492E+00   4.95921338E-01
     42  -8.04041708E+00  -7.55307396E+00   4.87343119E-01
     43  -8.08225270E+00  -7.59361898E+00   4.88633721E-01
     44  -8.12408804E+00  -7.63416484E+00   4.89923199E-01
     45  -8.16154005E+00  -7.67268586E+00   4.88854190E-01
     46  -8.19899237E+00  -7.71121083E+00   4.87781540E-01
     47  -8.22540742E+00  -7.74299261E+00   4.82414811E-01
     48  -8.25182294E+00  -7.77476372E+00   4.77059223E-01
     49  -8.29313128E+00  -7.80796880E+00   4.85162481E-01
     50  -8.33444078E+00  -7.84117410E+00   4.93266684E-01
     51  -8.36947914E+00  -7.86897990E+00   5.00499247E-01
     52  -8.40451629E+00  -7.89678611E+00   5.07730185E-01
     53  -8.43567109E+00  -7.92502224E+00   5.10648850E-01
     54  -8.46683559E+00  -7.95327097E+00   5.13564620E-01
     55  -8.48819073E+00  -7.98099033E+00   5.07200400E-01
     56  -8.50955258E+00  -8.00871618E+00   5.00836399E-01
     57  -8.53005739E+00  -8.03046937E+00   4.99588025E-01
     58  -8.55057799E+00  -8.05224929E+00   4.98328703E-01
     59  -8.57060122E+00  -8.07245736E+00   4.98143859E-01
     60  -8.59061680E+00  -8.09265235E+00   4.97964447E-01
# k =   0.000000   0.250000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.51710306E+00  -8.81804621E+00   6.99056849E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.01981073E+00   1.10235572E+00   8.25449908E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.90630117E-01  -1.89032169E-01   1.01597949E-01
      2  -5.82313228E-01  -3.78064073E-01   2.04249154E-01
      3  -1.00068976E+00  -5.82895611E-01   4.17794144E-01
      4  -1.41400075E+00  -7.87727814E-01   6.26272931E-01
      5  -1.83437130E+00  -1.05934205E+00   7.75029247E-01
      6  -2.28064490E+00  -1.33095676E+00   9.49688144E-01
      7  -3.41074297E+00  -1.48764900E+00   1.92309397E+00
      8  -4.58113238E+00  -1.64434128E+00   2.93679110E+00
      9  -4.74438968E+00  -2.66010710E+00   2.08428258E+00
     10  -4.90678743E+00  -3.67586412E+00   1.23092330E+00
     11  -5.13648689E+00  -4.02588167E+00   1.11060521E+00
     12  -5.36490788E+00  -4.37586423E+00   9.89043650E-01
     13  -5.54632888E+00  -4.63359142E+00   9.12737459E-01
