# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=47  sigSX=   -1.583185              sigCOH=    0.000000              sigTOT=   -1.583185              VH=    1.082224+ -0.000000i
n=48  sigSX=   -2.245447              sigCOH=    0.000000              sigTOT=   -2.245447              VH=    1.781585+ -0.000000i
n=49  sigSX=   -2.245447              sigCOH=    0.000000              sigTOT=   -2.245447              VH=    1.781585+ -0.000000i
n=50  sigSX=   -1.536011              sigCOH=    0.000000              sigTOT=   -1.536011              VH=    0.269738+  0.000001i
n=51  sigSX=   -1.535951              sigCOH=    0.000000              sigTOT=   -1.535951              VH=    0.274912+ -0.000000i
n=52  sigSX=   -1.535868              sigCOH=    0.000000              sigTOT=   -1.535868              VH=    0.277420+  0.000000i
n=53  sigSX=   -1.536077              sigCOH=    0.000000              sigTOT=   -1.536077              VH=    0.271097+ -0.000001i
n=54  sigSX=   -1.356493              sigCOH=    0.000000              sigTOT=   -1.356493              VH=    0.653024+ -0.000000i
n=55  sigSX=   -1.356450              sigCOH=    0.000000              sigTOT=   -1.356450              VH=    0.663679+ -0.000003i
n=56  sigSX=   -1.356456              sigCOH=    0.000000              sigTOT=   -1.356456              VH=    0.656749+  0.000001i
n=57  sigSX=   -1.356480              sigCOH=    0.000000              sigTOT=   -1.356480              VH=    0.654828+  0.000002i
n=58  sigSX=   -1.500597              sigCOH=    0.000000              sigTOT=   -1.500597              VH=    0.598057+ -0.000001i
n=59  sigSX=   -1.500618              sigCOH=    0.000000              sigTOT=   -1.500618              VH=    0.593599+ -0.000003i

k-point 2:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.186101              sigCOH=    0.000000              sigTOT=  -17.186101              VH=    4.160768+ -0.000000i
n=1   sigSX=  -17.186101              sigCOH=    0.000000              sigTOT=  -17.186101              VH=    4.160768+ -0.000000i
n=2   sigSX=  -14.970894              sigCOH=    0.000000              sigTOT=  -14.970894              VH=    2.659815+ -0.000000i
n=3   sigSX=  -14.970894              sigCOH=    0.000000              sigTOT=  -14.970894              VH=    2.659815+ -0.000000i
n=4   sigSX=  -13.392618              sigCOH=    0.000000              sigTOT=  -13.392618              VH=    4.397406+  0.000000i
n=5   sigSX=  -13.392777              sigCOH=    0.000000              sigTOT=  -13.392777              VH=    4.397529+  0.000000i
n=6   sigSX=  -13.392975              sigCOH=    0.000000              sigTOT=  -13.392975              VH=    4.397861+ -0.000000i
n=7   sigSX=  -13.392728              sigCOH=    0.000000              sigTOT=  -13.392728              VH=    4.397780+ -0.000000i
n=8   sigSX=   -5.807910              sigCOH=    0.000000              sigTOT=   -5.807910              VH=    2.980897+ -0.000000i
n=9   sigSX=   -5.807910              sigCOH=    0.000000              sigTOT=   -5.807910              VH=    2.980897+ -0.000000i
n=10  sigSX=   -5.076109              sigCOH=    0.000000              sigTOT=   -5.076109              VH=    1.338991+ -0.000000i
n=11  sigSX=   -5.076238              sigCOH=    0.000000              sigTOT=   -5.076238              VH=    1.339186+  0.000000i
n=12  sigSX=   -5.076296              sigCOH=    0.000000              sigTOT=   -5.076296              VH=    1.339256+ -0.000000i
n=13  sigSX=   -5.076161              sigCOH=    0.000000              sigTOT=   -5.076161              VH=    1.339066+ -0.000000i
n=14  sigSX=   -2.180078              sigCOH=    0.000000              sigTOT=   -2.180078              VH=   -1.433543+ -0.000000i
n=15  sigSX=   -2.180078              sigCOH=    0.000000              sigTOT=   -2.180078              VH=   -1.433543+ -0.000000i
n=16  sigSX=   -3.774939              sigCOH=    0.000000              sigTOT=   -3.774939              VH=    2.609415+ -0.000000i
n=17  sigSX=   -3.775017              sigCOH=    0.000000              sigTOT=   -3.775017              VH=    2.609091+ -0.000000i
n=18  sigSX=   -3.775237              sigCOH=    0.000000              sigTOT=   -3.775237              VH=    2.608936+  0.000000i
n=19  sigSX=   -3.775108              sigCOH=    0.000000              sigTOT=   -3.775108              VH=    2.608638+  0.000000i
n=20  sigSX=   -3.493753              sigCOH=    0.000000              sigTOT=   -3.493753              VH=    2.166485+ -0.000000i
n=21  sigSX=   -3.493758              sigCOH=    0.000000              sigTOT=   -3.493758              VH=    2.167723+  0.000000i
n=22  sigSX=   -3.493776              sigCOH=    0.000000              sigTOT=   -3.493776              VH=    2.166757+ -0.000000i
n=23  sigSX=   -3.493742              sigCOH=    0.000000              sigTOT=   -3.493742              VH=    2.167316+  0.000000i
n=24  sigSX=   -3.559489              sigCOH=    0.000000              sigTOT=   -3.559489              VH=    2.873559+ -0.000000i
n=25  sigSX=   -3.559489              sigCOH=    0.000000              sigTOT=   -3.559489              VH=    2.873559+ -0.000000i
n=26  sigSX=   -3.358534              sigCOH=    0.000000              sigTOT=   -3.358534              VH=    3.432346+  0.000000i
n=27  sigSX=   -3.358534              sigCOH=    0.000000              sigTOT=   -3.358534              VH=    3.432346+  0.000000i
n=28  sigSX=   -2.419831              sigCOH=    0.000000              sigTOT=   -2.419831              VH=    3.341207+ -0.000000i
n=29  sigSX=   -2.419831              sigCOH=    0.000000              sigTOT=   -2.419831              VH=    3.341207+ -0.000000i
n=30  sigSX=   -2.291744              sigCOH=    0.000000              sigTOT=   -2.291744              VH=    0.913938+  0.000000i
n=31  sigSX=   -2.291744              sigCOH=    0.000000              sigTOT=   -2.291744              VH=    0.913938+  0.000000i
n=32  sigSX=   -1.843286              sigCOH=    0.000000              sigTOT=   -1.843286              VH=   -0.378081+ -0.000000i
n=33  sigSX=   -1.843281              sigCOH=    0.000000              sigTOT=   -1.843281              VH=   -0.378203+ -0.000000i
n=34  sigSX=   -1.843312              sigCOH=    0.000000              sigTOT=   -1.843312              VH=   -0.377809+  0.000000i
n=35  sigSX=   -1.843266              sigCOH=    0.000000              sigTOT=   -1.843266              VH=   -0.378389+ -0.000000i
n=36  sigSX=   -2.181118              sigCOH=    0.000000              sigTOT=   -2.181118              VH=    2.952168+ -0.000000i
n=37  sigSX=   -2.181092              sigCOH=    0.000000              sigTOT=   -2.181092              VH=    2.953185+  0.000000i
n=38  sigSX=   -2.181119              sigCOH=    0.000000              sigTOT=   -2.181119              VH=    2.952687+  0.000000i
n=39  sigSX=   -2.181110              sigCOH=    0.000000              sigTOT=   -2.181110              VH=    2.952797+  0.000000i
n=40  sigSX=   -1.247947              sigCOH=    0.000000              sigTOT=   -1.247947              VH=    1.549975+  0.000000i
n=41  sigSX=   -1.247947              sigCOH=    0.000000              sigTOT=   -1.247947              VH=    1.549975+  0.000000i
n=42  sigSX=   -2.092290              sigCOH=    0.000000              sigTOT=   -2.092290              VH=    1.465922+ -0.000001i
n=43  sigSX=   -2.092302              sigCOH=    0.000000              sigTOT=   -2.092302              VH=    1.464100+  0.000000i
n=44  sigSX=   -2.092280              sigCOH=    0.000000              sigTOT=   -2.092280              VH=    1.465272+ -0.000000i
n=45  sigSX=   -2.092283              sigCOH=    0.000000              sigTOT=   -2.092283              VH=    1.464144+  0.000001i
n=46  sigSX=   -2.283833              sigCOH=    0.000000              sigTOT=   -2.283833              VH=    4.231677+ -0.000000i
n=47  sigSX=   -2.283955              sigCOH=    0.000000              sigTOT=   -2.283955              VH=    4.229309+  0.000001i
n=48  sigSX=   -2.283688              sigCOH=    0.000000              sigTOT=   -2.283688              VH=    4.234976+ -0.000000i
n=49  sigSX=   -2.283881              sigCOH=    0.000000              sigTOT=   -2.283881              VH=    4.230823+  0.000000i
n=50  sigSX=   -0.971406              sigCOH=    0.000000              sigTOT=   -0.971406              VH=   -3.165099+ -0.000000i
n=51  sigSX=   -0.971406              sigCOH=    0.000000              sigTOT=   -0.971406              VH=   -3.165099+ -0.000000i
n=52  sigSX=   -2.381801              sigCOH=    0.000000              sigTOT=   -2.381801              VH=    2.388869+ -0.000000i
n=53  sigSX=   -2.381801              sigCOH=    0.000000              sigTOT=   -2.381801              VH=    2.388869+ -0.000000i
n=54  sigSX=   -1.278026              sigCOH=    0.000000              sigTOT=   -1.278026              VH=   -0.765166+  0.000000i
n=55  sigSX=   -1.278000              sigCOH=    0.000000              sigTOT=   -1.278000              VH=   -0.753610+ -0.000000i
n=56  sigSX=   -1.277971              sigCOH=    0.000000              sigTOT=   -1.277971              VH=   -0.752240+ -0.000000i
n=57  sigSX=   -1.278003              sigCOH=    0.000000              sigTOT=   -1.278003              VH=   -0.764399+  0.000000i
n=58  sigSX=   -1.407154              sigCOH=    0.000000              sigTOT=   -1.407154              VH=   -0.285162+ -0.000003i
n=59  sigSX=   -1.407128              sigCOH=    0.000000              sigTOT=   -1.407128              VH=   -0.279199+ -0.000004i

k-point 3:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.496641              sigCOH=    0.000000              sigTOT=  -17.496641              VH=    3.455939+ -0.000000i
n=1   sigSX=  -17.496641              sigCOH=    0.000000              sigTOT=  -17.496641              VH=    3.455939+ -0.000000i
n=2   sigSX=  -13.872731              sigCOH=    0.000000              sigTOT=  -13.872731              VH=    3.704003+ -0.000000i
n=3   sigSX=  -13.872731              sigCOH=    0.000000              sigTOT=  -13.872731              VH=    3.704003+ -0.000000i
n=4   sigSX=  -13.092295              sigCOH=    0.000000              sigTOT=  -13.092295              VH=    4.505766+ -0.000000i
n=5   sigSX=  -13.092146              sigCOH=    0.000000              sigTOT=  -13.092146              VH=    4.505695+  0.000000i
n=6   sigSX=  -13.092108              sigCOH=    0.000000              sigTOT=  -13.092108              VH=    4.505718+ -0.000000i
n=7   sigSX=  -13.092039              sigCOH=    0.000000              sigTOT=  -13.092039              VH=    4.505477+  0.000000i
n=8   sigSX=   -5.740875              sigCOH=    0.000000              sigTOT=   -5.740875              VH=    2.924518+ -0.000000i
n=9   sigSX=   -5.740875              sigCOH=    0.000000              sigTOT=   -5.740875              VH=    2.924518+ -0.000000i
n=10  sigSX=   -5.526169              sigCOH=    0.000000              sigTOT=   -5.526169              VH=    2.295513+  0.000000i
