# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55905759E+00  -7.99330345E+00   5.65754139E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16098839E+00   1.26239131E+00   1.01402923E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      4  -1.32204223E+00  -1.07023769E+00   2.51804543E-01
      5  -1.79108268E+00  -1.29299434E+00   4.98088338E-01
      6  -2.25508024E+00  -1.51158774E+00   7.43492499E-01
      7  -2.81332966E+00  -1.63444003E+00   1.17888962E+00
      8  -3.37567184E+00  -1.75048823E+00   1.62518360E+00
      9  -3.49800902E+00  -2.18963839E+00   1.30837063E+00
     10  -3.61658785E+00  -2.63115548E+00   9.85432367E-01
     11  -3.77903811E+00  -2.80862953E+00   9.70408577E-01
     12  -3.95625515E+00  -2.95476220E+00   1.00149295E+00
     13  -4.20313979E+00  -3.35194739E+00   8.51192404E-01
     14  -4.43543898E+00  -3.77610856E+00   6.59330423E-01
     15  -4.62533385E+00  -4.00815199E+00   6.17181866E-01
     16  -4.81604866E+00  -4.22416786E+00   5.91880803E-01
     17  -4.96090529E+00  -4.35836093E+00   6.02544362E-01
     18  -5.10093028E+00  -4.49131712E+00   6.09613158E-01
     19  -5.23989030E+00  -4.58874615E+00   6.51144142E-01
     20  -5.38281992E+00  -4.68436313E+00   6.98456785E-01
     21  -5.48329134E+00  -4.80751841E+00   6.75772935E-01
     22  -5.58639450E+00  -4.93244657E+00   6.53947935E-01
     23  -5.68975806E+00  -5.04194647E+00   6.47811585E-01
     24  -5.79083746E+00  -5.15157290E+00   6.39264561E-01
     25  -5.85855814E+00  -5.26804534E+00   5.90512801E-01
     26  -5.92764632E+00  -5.38257201E+00   5.45074312E-01
     27  -5.99390202E+00  -5.46652972E+00   5.27372302E-01
     28  -6.06189982E+00  -5.54541461E+00   5.16485204E-01
     29  -6.12913037E+00  -5.60577347E+00   5.23356902E-01
     30  -6.19408408E+00  -5.67267578E+00   5.21408306E-01
     31  -6.26801416E+00  -5.74266920E+00   5.25344957E-01
     32  -6.33913966E+00  -5.81992325E+00   5.19216417E-01
     33  -6.40404372E+00  -5.87976645E+00   5.24277273E-01
     34  -6.46791493E+00  -5.93711794E+00   5.30796995E-01
     35  -6.52156653E+00  -6.00364532E+00   5.17921214E-01
     36  -6.57366564E+00  -6.06642316E+00   5.07242477E-01
     37  -6.62457598E+00  -6.11741083E+00   5.07165145E-01
     38  -6.67617396E+00  -6.17030429E+00   5.05869665E-01
     39  -6.72538401E+00  -6.21711930E+00   5.08264707E-01
     40  -6.77530620E+00  -6.26528364E+00   5.10022558E-01
     41  -6.81238542E+00  -6.30928434E+00   5.03101089E-01
     42  -6.84966879E+00  -6.35247865E+00   4.97190142E-01
     43  -6.89179914E+00  -6.39274670E+00   4.99052443E-01
     44  -6.92982362E+00  -6.42876198E+00   5.01061646E-01
     45  -6.96510428E+00  -6.46654074E+00   4.98563542E-01
     46  -7.00159723E+00  -6.50592887E+00   4.95668360E-01
     47  -7.02889506E+00  -6.53726555E+00   4.91629509E-01
     48  -7.05484870E+00  -6.56858890E+00   4.86259795E-01
     49  -7.09687485E+00  -6.60365868E+00   4.93216164E-01
     50  -7.13779162E+00  -6.63769869E+00   5.00092939E-01
     51  -7.16985118E+00  -6.66188593E+00   5.07965249E-01
     52  -7.20117491E+00  -6.68804447E+00   5.13130445E-01
     53  -7.23180732E+00  -6.71645553E+00   5.15351793E-01
     54  -7.26263022E+00  -6.74344261E+00   5.19187615E-01
