# Generated by LORRAX 0.1.0 at 2026-05-06 01:45:58 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.346030+ -0.000000i  sigCOH=   -7.612955+  0.000000i  sigTOT=  -11.958985+ -0.000000i  VH=    4.574119+ -0.007951i
n=1   sigSX=   -4.346030+ -0.000000i  sigCOH=   -7.612955+  0.000000i  sigTOT=  -11.958985+ -0.000000i  VH=    4.574119+ -0.007951i
n=2   sigSX=   -4.346030+ -0.000000i  sigCOH=   -7.612955+  0.000000i  sigTOT=  -11.958985+ -0.000000i  VH=    4.574119+ -0.007951i
n=3   sigSX=   -4.346030+ -0.000000i  sigCOH=   -7.612955+  0.000000i  sigTOT=  -11.958985+ -0.000000i  VH=    4.574119+ -0.007951i
n=4   sigSX=   -3.907007+ -0.000000i  sigCOH=   -7.196264+  0.000000i  sigTOT=  -11.103272+ -0.000000i  VH=    3.810752+  0.003306i
n=5   sigSX=   -3.907007+ -0.000000i  sigCOH=   -7.196264+  0.000000i  sigTOT=  -11.103272+ -0.000000i  VH=    3.810752+  0.003306i
n=6   sigSX=   -3.907007+ -0.000000i  sigCOH=   -7.196264+  0.000000i  sigTOT=  -11.103272+ -0.000000i  VH=    3.810752+  0.003306i
n=7   sigSX=   -3.907007+ -0.000000i  sigCOH=   -7.196264+  0.000000i  sigTOT=  -11.103272+ -0.000000i  VH=    3.810752+  0.003306i
n=8   sigSX=   -1.862645+ -0.000000i  sigCOH=   -6.238876+  0.000000i  sigTOT=   -8.101522+  0.000000i  VH=   -0.201262+ -0.003257i
n=9   sigSX=   -1.862645+ -0.000000i  sigCOH=   -6.238876+  0.000000i  sigTOT=   -8.101522+  0.000000i  VH=   -0.201262+ -0.003257i
n=10  sigSX=   -1.862645+ -0.000000i  sigCOH=   -6.238876+  0.000000i  sigTOT=   -8.101522+  0.000000i  VH=   -0.201262+ -0.003257i
n=11  sigSX=   -1.862645+ -0.000000i  sigCOH=   -6.238876+  0.000000i  sigTOT=   -8.101522+  0.000000i  VH=   -0.201262+ -0.003257i
n=12  sigSX=   -2.026885              sigCOH=   -5.681257+  0.000000i  sigTOT=   -7.708142+  0.000000i  VH=    3.943895+ -0.001777i
n=13  sigSX=   -2.026885              sigCOH=   -5.681257+  0.000000i  sigTOT=   -7.708142+  0.000000i  VH=    3.943895+ -0.001777i
