# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 608

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
  150.19          0.00 B      115      360.02 MiB
  152.65          0.00 B       70        5.57 MiB
  156.44          0.00 B       70        5.57 MiB
  157.96          0.00 B       70        5.57 MiB
  159.29          0.00 B       70        5.57 MiB
  159.54          0.00 B       70        5.57 MiB
  159.79          0.00 B       70        5.57 MiB
  160.04          0.00 B       70        5.57 MiB
  160.29          0.00 B       70        5.57 MiB
  160.54          0.00 B       70        5.57 MiB
  160.79          0.00 B       70        5.57 MiB
  161.04          0.00 B       70        5.57 MiB
  161.29          0.00 B       70        5.57 MiB
  161.54          0.00 B       70        5.57 MiB
  161.80          0.00 B       70        5.57 MiB
  162.05          0.00 B       70        5.57 MiB
  162.30          0.00 B       70        5.57 MiB
  162.55          0.00 B       70        5.57 MiB
  162.80          0.00 B       70        5.57 MiB
  163.05          0.00 B       70        5.57 MiB
  163.30          0.00 B       70        5.57 MiB
  163.55          0.00 B       70        5.57 MiB
  163.71          0.00 B       70        5.57 MiB
