
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  14    9.601404866    9.601404866   -4.426382890    2.576905324   -8.725067491  -10.574545057   19.482741457    8.908196400    8.908196400   -7.554848888   -9.404326454   10.078415003   10.078415003    1.000000000
  15   13.996111838   13.996111838   -2.020345622    0.783364774   -7.362033671   -8.599014519   21.840256174   13.241241655   13.241241655   -6.386231251   -7.623212100   14.217044074   14.217044074    1.000000000
  16   13.996111838   13.996111838   -2.020345622    0.783364774   -7.362033671   -8.599014519   21.840256174   13.241241655   13.241241655   -6.386231251   -7.623212100   14.217044074   14.217044074    1.000000000
 
       k =  0.000000  0.500000  0.500000 ik =   4 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.549907257   -1.549907257  -15.235200029   11.159734128   -9.579647944  -13.655113845    9.700171771   -3.954942074   -3.954942074   -8.900793938  -12.976259839   -3.276088068   -3.276088068    1.000000000
   2   -1.549907257   -1.549907257  -15.235200029   11.159734128   -9.579647944  -13.655113845    9.700171771   -3.954942074   -3.954942074   -8.900793938  -12.976259839   -3.276088068   -3.276088068    1.000000000
   3   -1.549907257   -1.549907257  -15.235200029   11.159734128   -9.579647944  -13.655113845    9.700171771   -3.954942074   -3.954942074   -8.900793938  -12.976259839   -3.276088068   -3.276088068    1.000000000
   4   -1.549907257   -1.549907257  -15.235200029   11.159734128   -9.579647944  -13.655113845    9.700171771   -3.954942074   -3.954942074   -8.900793938  -12.976259839   -3.276088068   -3.276088068    1.000000000
   5    3.412332482    3.412332482  -13.262303122    9.594574462   -9.339785409  -13.007514069   14.297996443    1.290482374    1.290482374   -8.426717658  -12.094446318    2.203550125    2.203550125    1.000000000
   6    3.412332482    3.412332482  -13.262303122    9.594574462   -9.339785409  -13.007514069   14.297996443    1.290482374    1.290482374   -8.426717658  -12.094446318    2.203550125    2.203550125    1.000000000
   7    3.412332482    3.412332482  -13.262303122    9.594574462   -9.339785409  -13.007514069   14.297996443    1.290482374    1.290482374   -8.426717658  -12.094446318    2.203550125    2.203550125    1.000000000
   8    3.412332482    3.412332482  -13.262303122    9.594574462   -9.339785409  -13.007514069   14.297996443    1.290482374    1.290482374   -8.426717658  -12.094446318    2.203550125    2.203550125    1.000000000
   9    6.968806361    6.968806361   -4.201194557    2.431645738   -8.241498788  -10.011047607   16.146090671    6.135043064    6.135043064   -7.370440220   -9.139989039    7.006101632    7.006101632    1.000000000
  10    6.968806361    6.968806361   -4.201194557    2.431645738   -8.241498788  -10.011047607   16.146090671    6.135043064    6.135043064   -7.370440220   -9.139989039    7.006101632    7.006101632    1.000000000
  11    6.968806361    6.968806361   -4.201194557    2.431645738   -8.241498788  -10.011047607   16.146090671    6.135043064    6.135043064   -7.370440220   -9.139989039    7.006101632    7.006101632    1.000000000
  12    6.968806361    6.968806361   -4.201194557    2.431645738   -8.241498788  -10.011047607   16.146090671    6.135043064    6.135043064   -7.370440220   -9.139989039    7.006101632    7.006101632    1.000000000
  13   16.360897211   16.360897211   -3.769921622    1.892339501   -9.544850099  -11.422432220   27.465362154   16.042929934   16.042929934   -7.749903152   -9.627485274   17.837876880   17.837876880    1.000000000
