# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   1   65   -19.86297     0.00000   -19.86297   -0.012634   -0.012634   -19.87561   -19.87561
   1   66   -13.97204     0.00000   -13.97204   -0.003739   -0.003739   -13.97578   -13.97578
   1   67   -21.57934     0.00000   -21.57934   -0.015361   -0.015361   -21.59470   -21.59470
   1   68   -20.35556     0.00000   -20.35556   -0.013034   -0.013034   -20.36860   -20.36860
   1   69   -17.58591     0.00000   -17.58591   -0.009018   -0.009018   -17.59493   -17.59493
   1   70   -12.23226     0.00000   -12.23226   -0.015850   -0.015850   -12.24811   -12.24811
   1   71   -12.09776     0.00000   -12.09776   -0.016465   -0.016465   -12.11423   -12.11423
   1   72   -12.26451     0.00000   -12.26451   -0.015328   -0.015328   -12.27984   -12.27984
   1   73   -11.39823     0.00000   -11.39823   -0.013965   -0.013965   -11.41220   -11.41220
   1   74    -8.65562     0.00000    -8.65562   -0.015244   -0.015244    -8.67086    -8.67086
   1   75    -7.86777     0.00000    -7.86777   -0.013950   -0.013950    -7.88172    -7.88172
   1   76    -8.38739     0.00000    -8.38739   -0.014585   -0.014585    -8.40197    -8.40197
   1   77    -8.07480     0.00000    -8.07480   -0.014857   -0.014857    -8.08965    -8.08965
   2    0   -50.78392     0.00000   -50.78392   -0.035172   -0.035172   -50.81909   -50.81909
   2    1   -50.78124     0.00000   -50.78124   -0.035170   -0.035170   -50.81641   -50.81641
   2    2   -46.37877     0.00000   -46.37877   -0.034059   -0.034059   -46.41282   -46.41282
   2    3   -46.37592     0.00000   -46.37592   -0.034066   -0.034066   -46.40998   -46.40998
   2    4   -43.51658     0.00000   -43.51658   -0.037932   -0.037932   -43.55451   -43.55451
   2    5   -43.48797     0.00000   -43.48797   -0.038012   -0.038012   -43.52598   -43.52598
   2    6   -43.12657     0.00000   -43.12657   -0.037681   -0.037681   -43.16425   -43.16425
   2    7   -43.12234     0.00000   -43.12234   -0.037599   -0.037599   -43.15994   -43.15994
   2    8   -43.60339     0.00000   -43.60339   -0.037538   -0.037538   -43.64092   -43.64092
   2    9   -43.56661     0.00000   -43.56661   -0.037598   -0.037598   -43.60421   -43.60421
   2   10   -37.89889     0.00000   -37.89889   -0.031643   -0.031643   -37.93053   -37.93053
   2   11   -37.87150     0.00000   -37.87150   -0.031619   -0.031619   -37.90312   -37.90312
   2   12   -37.48241     0.00000   -37.48241   -0.030841   -0.030841   -37.51325   -37.51325
   2   13   -37.46972     0.00000   -37.46972   -0.030838   -0.030838   -37.50055   -37.50055
   2   14   -37.51169     0.00000   -37.51169   -0.030589   -0.030589   -37.54228   -37.54228
   2   15   -37.51281     0.00000   -37.51281   -0.030536   -0.030536   -37.54334   -37.54334
   2   16   -18.02659     0.00000   -18.02659   -0.001592   -0.001592   -18.02818   -18.02818
   2   17   -18.04589     0.00000   -18.04589   -0.001511   -0.001511   -18.04740   -18.04740
   2   18   -18.03452     0.00000   -18.03452   -0.001541   -0.001541   -18.03607   -18.03607
   2   19   -17.95079     0.00000   -17.95079   -0.001598   -0.001598   -17.95239   -17.95239
   2   20   -18.01393     0.00000   -18.01393   -0.001528   -0.001528   -18.01545   -18.01545
   2   21   -17.90124     0.00000   -17.90124   -0.001569   -0.001569   -17.90281   -17.90281
   2   22   -18.08780     0.00000   -18.08780   -0.001577   -0.001577   -18.08938   -18.08938
   2   23   -17.97700     0.00000   -17.97700   -0.001625   -0.001625   -17.97862   -17.97862
   2   24   -18.06539     0.00000   -18.06539   -0.001589   -0.001589   -18.06698   -18.06698
   2   25   -17.97575     0.00000   -17.97575   -0.001667   -0.001667   -17.97741   -17.97741
   2   26   -18.11709     0.00000   -18.11709   -0.001641   -0.001641   -18.11873   -18.11873
   2   27   -18.04558     0.00000   -18.04558   -0.001737   -0.001737   -18.04731   -18.04731
   2   28   -14.17916     0.00000   -14.17916   -0.002647   -0.002647   -14.18180   -14.18180
   2   29   -13.41790     0.00000   -13.41790   -0.001989   -0.001989   -13.41989   -13.41989
   2   30   -14.12393     0.00000   -14.12393   -0.002786   -0.002786   -14.12672   -14.12672
   2   31   -13.31499     0.00000   -13.31499   -0.002063   -0.002063   -13.31705   -13.31705
   2   32   -13.30917     0.00000   -13.30917   -0.001748   -0.001748   -13.31092   -13.31092
   2   33   -13.72979     0.00000   -13.72979   -0.002255   -0.002255   -13.73205   -13.73205
   2   34   -13.64520     0.00000   -13.64520   -0.002203   -0.002203   -13.64740   -13.64740
   2   35   -14.01841     0.00000   -14.01841   -0.002920   -0.002920   -14.02133   -14.02133
   2   36   -13.77965     0.00000   -13.77965   -0.002478   -0.002478   -13.78213   -13.78213
   2   37   -13.82606     0.00000   -13.82606   -0.002945   -0.002945   -13.82900   -13.82900
   2   38   -13.89204     0.00000   -13.89204   -0.002858   -0.002858   -13.89489   -13.89489
   2   39   -14.51698     0.00000   -14.51698   -0.004961   -0.004961   -14.52194   -14.52194
   2   40   -13.68851     0.00000   -13.68851   -0.003296   -0.003296   -13.69181   -13.69181
   2   41   -14.24082     0.00000   -14.24082   -0.004262   -0.004262   -14.24509   -14.24509
   2   42   -14.91760     0.00000   -14.91760   -0.005587   -0.005587   -14.92319   -14.92319
   2   43   -14.11976     0.00000   -14.11976   -0.004655   -0.004655   -14.12441   -14.12441
   2   44   -14.51415     0.00000   -14.51415   -0.004738   -0.004738   -14.51889   -14.51889
   2   45   -13.96476     0.00000   -13.96476   -0.004073   -0.004073   -13.96883   -13.96883
   2   46   -13.91234     0.00000   -13.91234   -0.003658   -0.003658   -13.91600   -13.91600
   2   47   -14.43690     0.00000   -14.43690   -0.004604   -0.004604   -14.44150   -14.44150
   2   48   -13.63352     0.00000   -13.63352   -0.003109   -0.003109   -13.63663   -13.63663
   2   49   -13.63553     0.00000   -13.63553   -0.003146   -0.003146   -13.63867   -13.63867
   2   50   -14.31611     0.00000   -14.31611   -0.004049   -0.004049   -14.32016   -14.32016
   2   51   -13.22783     0.00000   -13.22783   -0.002713   -0.002713   -13.23054   -13.23054
   2   52   -14.34273     0.00000   -14.34273   -0.004834   -0.004834   -14.34756   -14.34756
   2   53   -13.77424     0.00000   -13.77424   -0.003284   -0.003284   -13.77753   -13.77753
   2   54   -12.96079     0.00000   -12.96079   -0.002277   -0.002277   -12.96307   -12.96307
   2   55   -13.15808     0.00000   -13.15808   -0.002357   -0.002357   -13.16044   -13.16044
   2   56   -12.97537     0.00000   -12.97537   -0.002100   -0.002100   -12.97747   -12.97747
   2   57   -15.40520     0.00000   -15.40520   -0.005603   -0.005603   -15.41080   -15.41080
   2   58   -13.47096     0.00000   -13.47096   -0.003105   -0.003105   -13.47407   -13.47407
   2   59   -12.87520     0.00000   -12.87520   -0.001906   -0.001906   -12.87711   -12.87711
   2   60   -12.97349     0.00000   -12.97349   -0.001855   -0.001855   -12.97535   -12.97535
   2   61   -14.19927     0.00000   -14.19927   -0.003537   -0.003537   -14.20281   -14.20281
   2   62   -21.93636     0.00000   -21.93636   -0.015745   -0.015745   -21.95211   -21.95211
   2   63   -14.72198     0.00000   -14.72198   -0.004532   -0.004532   -14.72651   -14.72651
   2   64   -12.80315     0.00000   -12.80315   -0.001709   -0.001709   -12.80486   -12.80486
   2   65   -19.88784     0.00000   -19.88784   -0.012815   -0.012815   -19.90066   -19.90066
   2   66   -21.19436     0.00000   -21.19436   -0.015017   -0.015017   -21.20938   -21.20938
   2   67   -22.38395     0.00000   -22.38395   -0.016217   -0.016217   -22.40016   -22.40016
   2   68   -21.22350     0.00000   -21.22350   -0.014824   -0.014824   -21.23832   -21.23832
   2   69   -19.24344     0.00000   -19.24344   -0.011499   -0.011499   -19.25494   -19.25494
   2   70   -11.94843     0.00000   -11.94843   -0.015237   -0.015237   -11.96367   -11.96367
   2   71   -11.97276     0.00000   -11.97276   -0.015478   -0.015478   -11.98823   -11.98823
   2   72   -12.09122     0.00000   -12.09122   -0.015611   -0.015611   -12.10683   -12.10683
   2   73   -12.15470     0.00000   -12.15470   -0.015909   -0.015909   -12.17061   -12.17061
   2   74    -8.12658     0.00000    -8.12658   -0.014755   -0.014755    -8.14133    -8.14133
   2   75    -7.93808     0.00000    -7.93808   -0.013150   -0.013150    -7.95123    -7.95123
   2   76    -8.08042     0.00000    -8.08042   -0.013646   -0.013646    -8.09406    -8.09406
   2   77    -8.22901     0.00000    -8.22901   -0.015963   -0.015963    -8.24497    -8.24497
   3    0   -50.78666     0.00000   -50.78666   -0.035160   -0.035160   -50.82182   -50.82182
   3    1   -50.78142     0.00000   -50.78142   -0.035181   -0.035181   -50.81660   -50.81660
   3    2   -46.38100     0.00000   -46.38100   -0.034049   -0.034049   -46.41505   -46.41505
   3    3   -46.37683     0.00000   -46.37683   -0.034076   -0.034076   -46.41090   -46.41090
   3    4   -43.51745     0.00000   -43.51745   -0.037945   -0.037945   -43.55540   -43.55540
   3    5   -43.51067     0.00000   -43.51067   -0.038002   -0.038002   -43.54867   -43.54867
   3    6   -43.12814     0.00000   -43.12814   -0.037620   -0.037620   -43.16576   -43.16576
   3    7   -43.11752     0.00000   -43.11752   -0.037636   -0.037636   -43.15516   -43.15516
   3    8   -43.57133     0.00000   -43.57133   -0.037580   -0.037580   -43.60891   -43.60891
   3    9   -43.60019     0.00000   -43.60019   -0.037584   -0.037584   -43.63777   -43.63777
   3   10   -37.88884     0.00000   -37.88884   -0.031647   -0.031647   -37.92048   -37.92048
   3   11   -37.87378     0.00000   -37.87378   -0.031627   -0.031627   -37.90541   -37.90541
   3   12   -37.48163     0.00000   -37.48163   -0.030839   -0.030839   -37.51247   -37.51247
   3   13   -37.46188     0.00000   -37.46188   -0.030848   -0.030848   -37.49273   -37.49273
   3   14   -37.51813     0.00000   -37.51813   -0.030575   -0.030575   -37.54870   -37.54870
   3   15   -37.54252     0.00000   -37.54252   -0.030536   -0.030536   -37.57306   -37.57306
   3   16   -18.04080     0.00000   -18.04080   -0.001629   -0.001629   -18.04243   -18.04243
   3   17   -18.06624     0.00000   -18.06624   -0.001550   -0.001550   -18.06779   -18.06779
   3   18   -17.99877     0.00000   -17.99877   -0.001498   -0.001498   -18.00027   -18.00027
   3   19   -17.93088     0.00000   -17.93088   -0.001551   -0.001551   -17.93243   -17.93243
   3   20   -18.08554     0.00000   -18.08554   -0.001568   -0.001568   -18.08711   -18.08711
   3   21   -18.04157     0.00000   -18.04157   -0.001566   -0.001566   -18.04314   -18.04314
   3   22   -17.97369     0.00000   -17.97369   -0.001612   -0.001612   -17.97530   -17.97530
   3   23   -17.93222     0.00000   -17.93222   -0.001615   -0.001615   -17.93384   -17.93384
   3   24   -18.03613     0.00000   -18.03613   -0.001559   -0.001559   -18.03769   -18.03769
   3   25   -17.94274     0.00000   -17.94274   -0.001634   -0.001634   -17.94438   -17.94438
   3   26   -18.11678     0.00000   -18.11678   -0.001638   -0.001638   -18.11842   -18.11842
   3   27   -18.04708     0.00000   -18.04708   -0.001735   -0.001735   -18.04882   -18.04882
   3   28   -14.17443     0.00000   -14.17443   -0.002614   -0.002614   -14.17705   -14.17705
   3   29   -13.36064     0.00000   -13.36064   -0.001918   -0.001918   -13.36256   -13.36256
   3   30   -14.13162     0.00000   -14.13162   -0.002795   -0.002795   -14.13442   -14.13442
   3   31   -13.39102     0.00000   -13.39102   -0.002079   -0.002079   -13.39310   -13.39310
   3   32   -13.25099     0.00000   -13.25099   -0.001693   -0.001693   -13.25268   -13.25268
   3   33   -13.40696     0.00000   -13.40696   -0.001775   -0.001775   -13.40874   -13.40874
   3   34   -14.66378     0.00000   -14.66378   -0.003994   -0.003994   -14.66777   -14.66777
   3   35   -13.93929     0.00000   -13.93929   -0.003083   -0.003083   -13.94237   -13.94237
   3   36   -13.71134     0.00000   -13.71134   -0.002528   -0.002528   -13.71387   -13.71387
   3   37   -14.10378     0.00000   -14.10378   -0.003379   -0.003379   -14.10716   -14.10716
   3   38   -13.74812     0.00000   -13.74812   -0.003154   -0.003154   -13.75128   -13.75128
   3   39   -13.58800     0.00000   -13.58800   -0.002310   -0.002310   -13.59031   -13.59031
