JAX: 1 gpu devices
== kin_ion_io ==
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'output_file' is no longer supported and will be ignored.  ``output_file`` (LORRAX-native eqp0) is now ``sigma_diag_file`` (defaults to ``sigma_diag.dat``); BGW-format ``eqp0.dat`` and ``eqp1.dat`` (with Z-linearization) are written automatically.  Remove 'output_file' from your input file.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'self_consistent' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = self_consistent' instead.
  params = read_cohsex_input(args.input)
/pscratch/sd/j/jackm/lorrax_sandbox/sources/worktrees/lorrax_A_exciton_bands/src/gw/kin_ion_io.py:91: DeprecationWarning: Input key 'sigma_at_dft_energies' is deprecated; it is honored via ``qp_solver = auto`` resolution.  Set 'qp_solver = one_shot_dft (the default)' instead.
  params = read_cohsex_input(args.input)
Loading WFN: WFN.h5
Bands: 80, FFT grid: (24, 24, 80), k-points: 144
sys_dim: 2
Devices: 1
No pseudopotentials (*.upf) found in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex
No pseudopotentials (*.upf) found in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/../qe/scf
Found pseudopotentials in /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/../qe/nscf
Pseudopotentials: ['Mo', 'S']
Coulomb truncation: 2D slab
Building V_loc...
Building unified V_NL setup...

Processing 144 k-points...
  k=1/144...
  k=17/144...
  k=33/144...
  k=49/144...
  k=65/144...
  k=81/144...
  k=97/144...
  k=113/144...
  k=129/144...

Writing to /pscratch/sd/j/jackm/lorrax_sandbox/runs/MoS2/04_mos2_12x12_bands_2026-07-18/00_lorrax_cohsex/kin_ion.h5...
Wrote kin_ion.h5: shape (144, 80, 80), sys_dim=2
--- Timing (seconds) ---
Total recorded: 27.959 s
Section                                            Count    Total[s]     Self[s]      %
k56                                                    1       0.025       0.025    0.1
k57                                                    1       0.025       0.025    0.1
k58                                                    1       0.085       0.085    0.3
k59                                                    1       0.072       0.072    0.3
k60                                                    1       0.029       0.029    0.1
k61                                                    1       0.026       0.026    0.1
k62                                                    1       0.026       0.026    0.1
k63                                                    1       0.025       0.025    0.1
k64                                                    1       0.025       0.025    0.1
k65                                                    1       0.025       0.025    0.1
k66                                                    1       0.025       0.025    0.1
k67                                                    1       0.025       0.025    0.1
k68                                                    1       0.025       0.025    0.1
k69                                                    1       0.026       0.026    0.1
k70                                                    1       0.029       0.029    0.1
k71                                                    1       0.022       0.022    0.1
k72                                                    1       0.078       0.078    0.3
k73                                                    1       0.082       0.082    0.3
k74                                                    1       0.025       0.025    0.1
k75                                                    1       0.026       0.026    0.1
k76                                                    1       0.026       0.026    0.1
k77                                                    1       0.025       0.025    0.1
k78                                                    1       0.025       0.025    0.1
k79                                                    1       0.017       0.017    0.1
k80                                                    1       0.018       0.018    0.1
k81                                                    1       0.018       0.018    0.1
k82                                                    1       0.018       0.018    0.1
k83                                                    1       0.017       0.017    0.1
k84                                                    1       0.016       0.016    0.1
k85                                                    1       0.017       0.017    0.1
k86                                                    1       0.018       0.018    0.1
k87                                                    1       0.018       0.018    0.1
k88                                                    1       0.017       0.017    0.1
k89                                                    1       0.017       0.017    0.1
k90                                                    1       0.065       0.065    0.2
k91                                                    1       0.084       0.084    0.3
k92                                                    1       0.018       0.018    0.1
k93                                                    1       0.018       0.018    0.1
k94                                                    1       0.018       0.018    0.1
k95                                                    1       0.018       0.018    0.1
k96                                                    1       0.017       0.017    0.1
k97                                                    1       0.018       0.018    0.1
k98                                                    1       0.026       0.026    0.1
k99                                                    1       0.017       0.017    0.1
k100                                                   1       0.019       0.019    0.1
k101                                                   1       0.017       0.017    0.1
k102                                                   1       0.018       0.018    0.1
k103                                                   1       0.017       0.017    0.1
k104                                                   1       0.018       0.018    0.1
k105                                                   1       0.017       0.017    0.1
k106                                                   1       0.023       0.023    0.1
k107                                                   1       0.017       0.017    0.1
k108                                                   1       0.017       0.017    0.1
k109                                                   1       0.051       0.051    0.2
k110                                                   1       0.070       0.070    0.3
k111                                                   1       0.042       0.042    0.2
k112                                                   1       0.017       0.017    0.1
k113                                                   1       0.018       0.018    0.1
k114                                                   1       0.017       0.017    0.1
k115                                                   1       0.018       0.018    0.1
k116                                                   1       0.018       0.018    0.1
k117                                                   1       0.018       0.018    0.1
k118                                                   1       0.018       0.018    0.1
k119                                                   1       0.018       0.018    0.1
k120                                                   1       0.018       0.018    0.1
k121                                                   1       0.017       0.017    0.1
k122                                                   1       0.019       0.019    0.1
k123                                                   1       0.017       0.017    0.1
k124                                                   1       0.018       0.018    0.1
k125                                                   1       0.018       0.018    0.1
k126                                                   1       0.018       0.018    0.1
k127                                                   1       0.018       0.018    0.1
k128                                                   1       0.036       0.036    0.1
k129                                                   1       0.065       0.065    0.2
k130                                                   1       0.064       0.064    0.2
k131                                                   1       0.018       0.018    0.1
k132                                                   1       0.018       0.018    0.1
k133                                                   1       0.018       0.018    0.1
k134                                                   1       0.017       0.017    0.1
k135                                                   1       0.018       0.018    0.1
k136                                                   1       0.020       0.020    0.1
k137                                                   1       0.018       0.018    0.1
k138                                                   1       0.018       0.018    0.1
k139                                                   1       0.018       0.018    0.1
k140                                                   1       0.018       0.018    0.1
k141                                                   1       0.017       0.017    0.1
k142                                                   1       0.018       0.018    0.1
k143                                                   1       0.018       0.018    0.1
write_h5                                               1       0.018       0.018    0.1
