# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.00216810E+01  -9.59085502E+00   4.30826025E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.07074777E+00   1.30840210E+00   2.37654336E-01
#    Nb          CH(vbm)          CH(cbm)             diff
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.80473038E+00  -8.90292360E+00   9.01806782E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.00802767E+00   1.15520110E+00   1.47173429E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.50289437E-01  -1.69763333E-01   1.80526103E-01
      2  -7.00555025E-01  -3.39521113E-01   3.61033912E-01
      3  -1.01129044E+00  -5.74715130E-01   4.36575306E-01
      4  -1.32205684E+00  -8.09916405E-01   5.12140439E-01
      5  -2.20320459E+00  -9.30476074E-01   1.27272851E+00
      6  -3.11267146E+00  -1.03699930E+00   2.07567216E+00
      7  -3.99326148E+00  -1.15796663E+00   2.83529485E+00
      8  -4.90336849E+00  -1.26422438E+00   3.63914411E+00
      9  -5.04315743E+00  -2.07588521E+00   2.96727222E+00
     10  -5.18304974E+00  -2.88754894E+00   2.29550079E+00
     11  -5.37214010E+00  -3.68583196E+00   1.68630814E+00
     12  -5.57941788E+00  -4.46037914E+00   1.11903874E+00
     13  -5.75808080E+00  -4.62992123E+00   1.12815957E+00
     14  -5.96148463E+00  -4.76732199E+00   1.19416264E+00
     15  -6.03458524E+00  -4.99312843E+00   1.04145681E+00
     16  -6.10768445E+00  -5.21889809E+00   8.88786361E-01
     17  -6.24858655E+00  -5.31287441E+00   9.35712146E-01
     18  -6.40660376E+00  -5.39392109E+00   1.01268268E+00
     19  -6.55091951E+00  -5.48531448E+00   1.06560503E+00
     20  -6.70733246E+00  -5.56756864E+00   1.13976382E+00
     21  -6.81116528E+00  -5.69252587E+00   1.11863942E+00
     22  -6.91490970E+00  -5.81748479E+00   1.09742491E+00
     23  -7.02273383E+00  -5.93936602E+00   1.08336781E+00
     24  -7.13056192E+00  -6.06124799E+00   1.06931393E+00
     25  -7.23211437E+00  -6.15850321E+00   1.07361116E+00
     26  -7.33007298E+00  -6.26273183E+00   1.06734115E+00
     27  -7.42230013E+00  -6.35333207E+00   1.06896805E+00
     28  -7.51090444E+00  -6.45070880E+00   1.06019565E+00
     29  -7.56030444E+00  -6.49932176E+00   1.06098268E+00
     30  -7.60969201E+00  -6.54793324E+00   1.06175877E+00
     31  -7.66182651E+00  -6.59332035E+00   1.06850616E+00
     32  -7.71397346E+00  -6.63870895E+00   1.07526451E+00
     33  -7.75418801E+00  -6.68998874E+00   1.06419928E+00
     34  -7.79126954E+00  -6.73662926E+00   1.05464028E+00
     35  -7.82830666E+00  -6.78321080E+00   1.04509586E+00
     36  -7.86851017E+00  -6.83448048E+00   1.03402969E+00
     37  -7.91759288E+00  -6.88482184E+00   1.03277104E+00
     38  -7.96470495E+00  -6.94813410E+00   1.01657085E+00
     39  -8.01340729E+00  -7.00169256E+00   1.01171473E+00
     40  -8.06105570E+00  -7.06180143E+00   9.99254270E-01
     41  -8.08931922E+00  -7.09997593E+00   9.89343291E-01
     42  -8.11760338E+00  -7.13814978E+00   9.79453601E-01
     43  -8.15671527E+00  -7.17826738E+00   9.78447884E-01
